symbol,date,period,delay_s,status,fill_price,t_star,pnl_replay
EDBL,2025-05-28,2025H1,30,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,45,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,60,skipped_guard,,219.71028077,0.0
EDBL,2025-05-28,2025H1,90,skipped_guard,,219.71028077,0.0
ALZN,2025-06-03,2025H1,0,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,1,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,2,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,3,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,5,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,10,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,15,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,20,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,30,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,45,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,60,unfilled_no_tstar,,,0.0
ALZN,2025-06-03,2025H1,90,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,0,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,1,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,2,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,3,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,5,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,10,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,15,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,20,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,30,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,45,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,60,unfilled_no_tstar,,,0.0
SXTP,2025-06-05,2025H1,90,unfilled_no_tstar,,,0.0
CONL,2025-06-06,2025H1,0,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,1,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,2,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,3,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,5,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,10,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,15,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,20,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,30,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,45,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,60,filled,25.67,63.145537148,-87.5301768218422
CONL,2025-06-06,2025H1,90,skipped_guard,,63.145537148,0.0
RIOX,2025-06-06,2025H1,0,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,1,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,2,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,3,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,5,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,10,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,15,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,20,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,30,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,45,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,60,skipped_guard,,23.652155682,0.0
RIOX,2025-06-06,2025H1,90,skipped_guard,,23.652155682,0.0
SKYA,2025-06-06,2025H1,0,missing_tick_data,,,
SKYA,2025-06-06,2025H1,1,missing_tick_data,,,
SKYA,2025-06-06,2025H1,2,missing_tick_data,,,
SKYA,2025-06-06,2025H1,3,missing_tick_data,,,
SKYA,2025-06-06,2025H1,5,missing_tick_data,,,
SKYA,2025-06-06,2025H1,10,missing_tick_data,,,
SKYA,2025-06-06,2025H1,15,missing_tick_data,,,
SKYA,2025-06-06,2025H1,20,missing_tick_data,,,
SKYA,2025-06-06,2025H1,30,missing_tick_data,,,
SKYA,2025-06-06,2025H1,45,missing_tick_data,,,
SKYA,2025-06-06,2025H1,60,missing_tick_data,,,
SKYA,2025-06-06,2025H1,90,missing_tick_data,,,
ALAR,2025-06-10,2025H1,0,filled,12.33,3.875393315,-59.6286289612207
