Universe: 610 stocks, Volume profiles: 896 stocks
2026-03-14 22:13:48,454 [WARNING] trading.trade_planner: ACON: fixed_risk shares 12499 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:49,288 [WARNING] trading.trade_planner: DOMH: fixed_risk shares 33955 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:49,383 [WARNING] trading.trade_planner: DWTX: fixed_risk shares 10005 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:50,172 [WARNING] backtest: KFFB: Only 5 bars, need at least 6 for setup detection
2026-03-14 22:13:50,300 [WARNING] trading.trade_planner: LSF: fixed_risk shares 25220 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:52,552 [WARNING] trading.trade_planner: DOMH: fixed_risk shares 26666 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:53,249 [WARNING] trading.trade_planner: ICU: fixed_risk shares 83333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:53,455 [WARNING] trading.trade_planner: IMDX: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:53,455 [WARNING] trading.trade_planner: IMDX: fixed_risk shares 36363 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:53,471 [WARNING] trading.trade_planner: IMDX: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:58,790 [WARNING] trading.trade_planner: BDMD: fixed_risk shares 21505 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:58,885 [WARNING] trading.trade_planner: BDMD: fixed_risk shares 40000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:58,933 [WARNING] backtest: BRFH: Only 3 bars, need at least 6 for setup detection
2026-03-14 22:13:59,028 [WARNING] trading.trade_planner: COEP: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:59,043 [WARNING] trading.trade_planner: COEP: fixed_risk shares 12894 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:59,266 [WARNING] trading.trade_planner: EBON: fixed_risk shares 21390 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:59,280 [WARNING] trading.trade_planner: EBON: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:13:59,283 [WARNING] trading.trade_planner: EBON: fixed_risk shares 14285 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,026 [WARNING] trading.trade_planner: KORE: fixed_risk shares 57471 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,029 [WARNING] trading.trade_planner: KORE: fixed_risk shares 33333 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,040 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,042 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,042 [WARNING] trading.trade_planner: KORE: fixed_risk shares 22222 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:00,681 [WARNING] trading.trade_planner: MOB: fixed_risk shares 40000 exceeds max_shares 10000, capping (risk budget distorted)
2026-03-14 22:14:01,468 [WARNING] backtest: PODC: Only 5 bars, need at least 6 for setup detection
2026-03-14 22:14:01,650 [WARNING] trading.trade_planner: PULM: fixed_risk shares 37950 exceeds max_shares 10000, capping (risk budget distorted)
