pop,leg,day,symbol,clock_m,px,sp_mean,sp_med,n_q,err
raw,entry,2025-07-31,FORM,576,29.82,0.1941134751773054,0.17999999999999972,141,
raw,entry,2025-07-31,JEM,618,6.5,0.20857142857142844,0.16999999999999993,7,
raw,entry,2025-08-01,RIOX,620,14.09,0.07900773195876307,0.08000000000000007,776,
raw,entry,2025-08-05,CSTL,598,21.36,0.10624999999999957,0.09999999999999787,88,
raw,entry,2025-08-06,AIMD,578,3.93,0.01160170212765958,0.010000000000000231,5875,
raw,entry,2025-08-06,MB,678,14.97,,,0,
raw,entry,2025-08-07,FTEK,646,3.39,0.020000000000000018,0.020000000000000018,11,
raw,entry,2025-08-07,MEG,639,24.83,0.4926470588235296,0.5399999999999991,34,
raw,entry,2025-08-07,SDM,618,10.74,0.18227272727272703,0.20000000000000107,22,
raw,entry,2025-08-08,SMU,606,31.25,0.17169753086419745,0.16999999999999815,972,
raw,entry,2025-08-11,AUUD,581,3.76,0.01092748735244519,0.010000000000000231,5337,
raw,entry,2025-08-11,MSOX,580,7.69,0.05984886649874061,0.05999999999999961,397,
raw,entry,2025-08-11,NEPH,588,4.47,0.04249999999999998,0.040000000000000036,4,
raw,entry,2025-08-11,ONEG,635,8.26,0.18250000000000036,0.11000000000000121,24,
raw,entry,2025-08-11,OPRX,623,16.04,0.1509722222222227,0.11499999999999932,72,
raw,entry,2025-08-12,PAL,586,7.24,0.16666666666666688,0.16000000000000014,12,
raw,entry,2025-08-13,DOGZ,628,10.45,0.5333823529411772,0.6800000000000015,68,
raw,entry,2025-08-13,NPCE,588,8.56,0.1069565217391304,0.08999999999999986,23,
raw,entry,2025-08-13,UCL,598,3.76,0.08937500000000007,0.0900000000000003,16,
raw,entry,2025-08-14,BMRA,627,3.99,0.023941176470588285,0.020000000000000018,170,
raw,entry,2025-08-14,DOGZ,604,11.61,0.4041666666666676,0.45000000000000107,24,
raw,entry,2025-08-14,NAKA,593,14.06,0.16780487804878086,0.16000000000000014,41,
raw,entry,2025-08-14,RYOJ,633,3.37,0.028478260869565335,0.03000000000000025,46,
raw,entry,2025-08-15,FUFU,621,3.85,0.017500000000000078,0.020000000000000018,104,
raw,entry,2025-08-18,XNET,595,7.71,0.011181619256017744,0.010000000000000675,457,
raw,entry,2025-08-20,SPAI,614,4.37,0.07642857142857136,0.08000000000000007,28,
raw,entry,2025-08-21,APLM,632,6.23,,,0,
raw,entry,2025-08-21,APM,638,3.27,0.012878895184135989,0.010000000000000231,5648,
raw,entry,2025-08-21,CATO,579,3.33,0.05888888888888882,0.06000000000000005,9,
raw,entry,2025-08-21,NIKI,638,3.27,0.012878895184135989,0.010000000000000231,5648,
raw,entry,2025-08-22,RIOX,610,16.9,0.07228888888888875,0.07000000000000028,1350,
raw,entry,2025-08-25,SPAI,638,6.92,0.014042553191489384,0.009999999999999787,47,
raw,entry,2025-08-27,PHOE,588,9.78,0.6114516129032253,0.7400000000000002,62,
raw,entry,2025-08-27,QVCGA,601,5.99,0.04615384615384617,0.040000000000000036,39,
raw,entry,2025-08-29,DFNS,635,4.86,0.014566724436741832,0.010000000000000675,1154,
raw,entry,2025-08-29,KBAB,619,20.25,0.08632286995515759,0.08000000000000185,223,
raw,entry,2025-08-29,THH,636,6.0,0.18882352941176464,0.16999999999999993,17,
raw,entry,2025-09-02,LCDL,592,13.21,0.19283636363636333,0.20000000000000107,275,
raw,entry,2025-09-02,TECX,640,18.0,0.08499999999999848,0.09499999999999886,6,
raw,entry,2025-09-03,AIHS,588,5.02,0.01099879039225847,0.009999999999999787,5787,
raw,entry,2025-09-03,TAOP,604,3.69,,,0,
raw,entry,2025-09-03,UPC,615,4.12,0.07363636363636374,0.0699999999999994,33,
raw,entry,2025-09-03,VAI,588,5.02,0.01099879039225847,0.009999999999999787,5787,
raw,entry,2025-09-04,FEED,637,5.06,0.08081081081081075,0.08000000000000007,37,
raw,entry,2025-09-05,FBIO,578,3.55,0.01540540540540542,0.010000000000000231,74,
raw,entry,2025-09-05,HOUR,647,4.95,0.021676485440161576,0.019999999999999574,5941,
raw,entry,2025-09-05,MSGY,603,18.32,0.5963636363636357,0.5599999999999987,11,
raw,entry,2025-09-08,ASTX,584,19.29,0.1045478723404252,0.10000000000000142,376,
raw,entry,2025-09-08,MCRB,579,23.53,0.6409090909090913,0.6499999999999986,33,
raw,entry,2025-09-09,ZONE,613,4.47,0.03662790697674422,0.040000000000000036,86,
raw,entry,2025-09-10,EMPG,584,11.56,0.2100000000000001,0.2400000000000002,7,
raw,entry,2025-09-10,LE,578,15.5,0.11111842105263177,0.09999999999999964,152,
raw,entry,2025-09-10,QNTM,645,16.88,0.33133333333333254,0.3299999999999983,15,
raw,entry,2025-09-11,CCUP,624,15.11,0.04885049833887062,0.05000000000000071,1505,
raw,entry,2025-09-11,FABC,593,4.84,0.1194117647058824,0.1200000000000001,51,
raw,entry,2025-09-11,KZIA,595,8.22,0.20999999999999908,0.20999999999999908,2,
raw,entry,2025-09-11,SBLX,593,4.84,0.1194117647058824,0.1200000000000001,51,
raw,entry,2025-09-11,TRNR,589,3.19,0.06175675675675664,0.06000000000000005,74,
raw,entry,2025-09-11,ZYBT,633,9.09,0.20266666666666702,0.23000000000000043,30,
