cell,symbol,si,S,signal_date,value,n_owners,a,b,entry_date,exit_date,gross,cost_bps,net,hold,split
I1,LPG,2612,125,2016-07-01,147800.0,2.0,125,145,2016-07-01,2016-08-01,-0.233003510588512,3.5197644,-0.23335548701715858,20,TRAIN
I1,FBNC,1609,125,2016-07-01,24840.0,3.0,125,145,2016-07-01,2016-08-01,0.03738949474580067,6.0374746,0.03678574730809259,20,TRAIN
I1,AMH,239,127,2016-07-06,252300.0,2.0,127,147,2016-07-06,2016-08-03,0.03496516189216514,0.51692295,0.03491346959663666,20,TRAIN
I1,ESI,1534,128,2016-07-07,399818.48,2.0,128,148,2016-07-07,2016-08-04,0.20112197526859954,0.81602526,0.20104037274095599,20,TRAIN
I1,FMNB,1696,129,2016-07-08,202.63000000000002,5.0,129,149,2016-07-08,2016-08-05,0.06561898369398134,6.761061,0.06494287755629213,20,TRAIN
I1,ARDX,337,138,2016-07-21,6666673.23,4.0,138,158,2016-07-21,2016-08-18,-0.012322185087849213,4.915717,-0.012813756816920652,20,TRAIN
I1,SIG,3942,138,2016-07-21,89910.0,2.0,138,158,2016-07-21,2016-08-18,0.06570781041633755,0.45220417,0.0656625899977954,20,TRAIN
I1,GABC,1789,138,2016-07-21,20002.569100000004,7.0,138,158,2016-07-21,2016-08-18,0.07229590010417652,7.3583875,0.07156006138127324,20,TRAIN
I1,LE,2529,140,2016-07-25,438087.36000000004,6.0,140,160,2016-07-25,2016-08-22,0.20996652351873957,2.9720485,0.20966931866547123,20,TRAIN
I1,OPK,3237,144,2016-07-29,9920.0,2.0,144,164,2016-07-29,2016-08-26,-0.08341718866105297,0.6348704,-0.08348067569860362,20,TRAIN
I1,SXC,4186,146,2016-08-02,529473.42,6.0,146,166,2016-08-02,2016-08-30,-0.07451601888845671,2.1909704,-0.07473511592928317,20,TRAIN
I1,PAG,3306,147,2016-08-03,9038751.209999999,2.0,147,167,2016-08-03,2016-08-31,0.17740277500443535,0.57167155,0.17734560784911646,20,TRAIN
I1,COTY,1084,148,2016-08-04,2016750.0,4.0,148,168,2016-08-04,2016-09-01,-0.04524295640722886,0.6727673,-0.045310233134578826,20,TRAIN
I1,COP,1076,148,2016-08-04,496750.0,2.0,148,168,2016-08-04,2016-09-01,0.012228264611519046,0.420244,0.0121862402119286,20,TRAIN
