date,symbol,pnl_R
2026-01-06,RKLX,1.890706804166452
2026-01-06,SKYT,1.8841617387150715
2026-01-07,AXTI,-1.0796050766790042
2026-01-07,CRDO,1.9308063441923864
2026-01-07,CWVX,-1.1226296185375022
2026-01-07,FLY,1.8023214445828173
2026-01-07,IONX,-1.118324006007595
2026-01-07,RIGL,1.6488436974789913
2026-01-08,BAH,-1.1321636580280017
2026-01-08,CWVX,-1.0749470263196166
2026-01-08,GLUE,-1.1328140950900376
2026-01-08,PLTZ,1.966877296289036
2026-01-08,SMX,-1.1925503742084058
2026-01-08,TDW,0.095429371584701
2026-01-08,NAIL,1.80007646281389
2026-01-09,APLD,-1.0401786960484147
2026-01-09,APPX,1.813078716981132
2026-01-09,ASTS,1.916944302922824
2026-01-09,BE,-1.0680388854556286
2026-01-09,CWVX,-1.1732546271338704
2026-01-09,ELVN,1.6196790104086412
2026-01-09,FLY,-1.1522950167349697
2026-01-09,INTW,1.7681917137476435
2026-01-09,SMST,1.8505687778887772
2026-01-09,MUU,-1.1507702665891424
2026-01-09,RKLX,-1.09538812956745
2026-01-09,SNDK,1.9318929074870963
2026-01-12,ALAB,-1.09181228763087
2026-01-12,ANAB,1.435950458715599
2026-01-12,AVL,0.2030947921662625
2026-01-12,CRWV,1.9385433880503051
2026-01-12,CYD,0.3884963121783847
2026-01-12,HOOG,-1.2915496141938607
2026-01-12,SHAK,0.3080673913043382
2026-01-12,WDC,1.2221459345463708
2026-01-13,AEHR,-1.155232098765431
2026-01-13,ALMS,-1.3944780187785792
2026-01-13,AMDG,-0.4643142091297975
2026-01-13,CSIQ,1.9316230201171387
2026-01-13,GPCR,1.665600461817584
2026-01-13,INTW,-1.0729799359540646
2026-01-13,MRNA,1.9340775648252555
2026-01-13,RBLX,1.931638034615785
2026-01-13,TMDX,-1.3103462962962986
2026-01-14,AEVA,-1.0940711462450587
2026-01-14,ALMS,1.861108974358976
2026-01-14,AVAV,0.2704182326485946
2026-01-14,CLSX,1.8013184078016438
2026-01-14,GPCR,1.5569551634665264
2026-01-14,METC,-1.162167364885911
2026-01-14,MP,1.931629821802934
2026-01-14,QBTX,1.0352957239702467
2026-01-14,RKLX,-1.1957974866807433
2026-01-14,TERN,1.8621952419139245
2026-01-14,VKTX,1.83816225490196
2026-01-15,AAOI,-0.8768969460390379
2026-01-15,AXTI,-1.1206719981683189
2026-01-15,CWVX,-1.1607406301328942
2026-01-15,SKYT,-1.133983021123954
2026-01-15,AGQ,1.947470173541248
2026-01-16,BEX,-1.1472041436464102
2026-01-16,IREN,1.9733878685633384
2026-01-16,PLTZ,1.918703691564604
2026-01-16,SMCI,1.9719960452782863
2026-01-16,STEM,-1.47983547663552
2026-01-20,BETA,-1.3915439999999974
2026-01-20,BKSY,-1.2834131402452067
2026-01-20,CRDO,1.8378760732143604
2026-01-20,FLY,-1.2551741654571855
2026-01-20,HYMC,-1.12402628504673
2026-01-20,IDCC,0.2244422719946661
2026-01-20,INTW,1.8941791134123809
2026-01-20,IONX,1.9116278483086249
2026-01-20,LEGN,1.7621697740113005
2026-01-20,LUNR,-1.064135421272414
2026-01-20,QBTX,-1.1554643962848303
2026-01-20,RGTI,-1.043433101333514
2026-01-21,BIOA,-1.2638205782652048
2026-01-21,CRK,-1.200300442214446
2026-01-21,METC,-1.272722682844626
2026-01-21,MRNA,1.914638215682736
2026-01-21,SEI,-1.212312617309698
2026-01-21,ETHD,-1.0858094024665104
2026-01-22,ASND,-0.4459555555555539
2026-01-22,ASTX,1.8336955455455464
2026-01-22,CDE,1.9647848898243407
2026-01-22,CRVS,-1.0685881552621053
2026-01-22,GRAL,1.6680441859924715
2026-01-22,OUST,-1.2626221453287223
2026-01-22,PPTA,1.5550076339569037
2026-01-22,SMU,-1.1008206387639814
2026-01-22,SSRM,-1.069669386169389
2026-01-22,VITL,-1.30401858216971
2026-01-22,JNUG,1.770590126078047
2026-01-22,NUGT,1.7657016431523913
2026-01-23,APLD,-1.0485440927077467
2026-01-23,BEX,-1.225028368794327
2026-01-23,CRVS,-1.1096091715976335
2026-01-23,HYMC,-1.1174711854647814
2026-01-23,MUU,-1.152217227031001
2026-01-23,RKLX,-1.1087781475946177
2026-01-23,UUUG,1.5397652221018412
2026-01-23,KOLD,-1.0354337032888687
2026-01-26,DOCN,1.8571512195121944
2026-01-26,GDS,1.8650872727272727
2026-01-26,RUN,-1.0699965986394553
2026-01-26,AGQ,1.9538215878721807
2026-01-27,APLD,1.959447443700549
2026-01-27,CWVX,1.9135804498763007
2026-01-27,FLNC,1.879262405889242
2026-01-27,FLY,-1.082549515151514
2026-01-27,IONZ,-1.0859189636644175
2026-01-27,IREN,1.916189721215231
2026-01-27,LEU,1.6947792253339482
2026-01-27,MRNA,-1.0484441593899538
2026-01-27,OKLL,-1.121866416791601
2026-01-27,ONDL,1.8684738609969624
2026-01-27,PL,1.9531454824316807
2026-01-27,RKLX,-1.1108083716375223
2026-01-28,AAOI,1.949351505199784
2026-01-28,BEX,-1.108176073897035
2026-01-28,INTW,-1.1653441573190078
2026-01-28,LUNR,1.961558418041666
2026-01-28,OKLL,-1.151221430802878
2026-01-28,OKLO,-1.108986591390262
2026-01-28,SANM,-0.467460243308995
2026-01-28,BOIL,1.9528401623717533
2026-01-29,EVMN,1.0914747033697172
2026-01-29,HOOZ,0.4950648405635897
2026-01-29,PLTZ,1.8813857802464016
2026-01-29,SBIT,1.958366826923075
2026-01-30,CVLG,-1.7286444444444409
2026-01-30,FLNC,-1.0710581086337854
2026-01-30,FN,-1.4746037852932066
2026-01-30,LBRDK,-1.1731615339233006
2026-01-30,RGTZ,1.9247352112676048
2026-01-30,RKLB,-1.0651893660520582
2026-01-30,USAR,-1.0504428318228094
