day,symbol,entry_m,ctrl_entry_m,rr,why
2025-07-02,NVDL,651,636,1.191651726922398,eod
2025-07-02,GLXY,748,733,-0.035566177354998785,eod
2025-07-07,U,601,586,-1.0560728095433947,stop
2025-07-07,CONL,602,587,2.0,target
2025-07-07,CRCL,609,594,1.9535194946603542,eod
2025-07-07,PLTU,712,697,2.0,target
2025-07-07,PTIR,719,704,2.0,target
2025-07-07,TSSI,754,739,-1.0421176470588256,stop
2025-07-08,MRNA,586,571,2.0,target
2025-07-08,INTW,587,572,2.0,target
2025-07-08,DOW,635,620,2.0,target
2025-07-08,SOXL,669,654,2.0,target
2025-07-08,HIMZ,774,759,2.0,target
2025-07-08,FCX,779,764,0.4683384618675945,eod
2025-07-09,QBTX,587,572,-1.020241050119333,stop
2025-07-09,IONX,589,574,-1.0294915572232668,stop
2025-07-09,MNTN,589,574,2.0,target
2025-07-09,CRSP,594,579,2.0,target
2025-07-09,LABU,657,642,2.0,target
2025-07-09,RNA,740,725,0.7635394516972297,eod
2025-07-10,CONL,753,738,2.0,target
2025-07-11,ROBN,602,587,2.0,target
2025-07-11,LEU,608,593,2.0,target
2025-07-11,KTOS,665,650,0.07476370693837919,eod
2025-07-14,SMR,608,593,-1.0487721518987339,stop
2025-07-14,RNA,668,653,-1.0949269630971836,stop
2025-07-14,AMSC,675,660,0.1615350309559694,eod
2025-07-14,NBIS,785,770,2.0,target
2025-07-15,SEDG,588,573,2.0,target
2025-07-15,SMCX,590,575,2.0,target
2025-07-15,SBET,603,588,-1.0345637583892626,stop
2025-07-15,DUST,692,677,2.0,target
2025-07-15,SMCL,703,688,2.0,target
2025-07-16,GLXY,590,575,2.0,target
2025-07-16,DXYZ,597,582,2.0,target
2025-07-16,ROBN,610,595,2.0,target
2025-07-16,HOOG,611,596,2.0,target
2025-07-16,VXX,696,681,-1.042609090909094,stop
2025-07-16,VIXY,697,682,-1.0623648648648607,stop
2025-07-16,ETHU,750,735,2.0,target
2025-07-17,AIRO,586,571,0.4324403040854337,eod
2025-07-17,AEVA,607,592,2.0,target
2025-07-17,RGTX,607,592,2.0,target
2025-07-17,XRPT,838,823,2.0,target
2025-07-18,COIN,609,594,-1.0722744624944265,stop
2025-07-18,CRCL,611,596,2.0000000000000036,target
2025-07-18,SBET,613,598,-1.0143953488372104,stop
2025-07-18,SMR,679,664,2.0,target
2025-07-18,OUST,705,690,2.0,target
2025-07-18,MP,805,790,0.33407587697167523,eod
2025-07-21,SDGR,603,588,2.0,target
2025-07-21,NBIS,605,590,2.0,target
2025-07-21,WGMI,621,606,-1.1871577232461077,stop
2025-07-21,QBTS,685,670,-1.0621909765142152,stop
2025-07-22,UVIX,595,580,-0.2542647205055681,eod
2025-07-22,SBET,643,628,2.0,target
2025-07-24,LB,586,571,2.0,target
2025-07-24,SBET,587,572,-1.0355704697986587,stop
2025-07-24,HZO,614,599,2.0,target
2025-07-24,VKTX,625,610,2.0,target
2025-07-24,SMR,654,639,2.0,target
2025-07-24,NNE,670,655,2.0,target
