symbol,bar_date,ratio
CLDX,2020-06-11,1.911764705882353
CLIR,2020-03-25,2.025
CLIR,2020-06-15,2.1647058823529415
CLSK,2020-05-05,2.297709923664122
CNTY,2020-03-24,1.9419354838709675
COCP,2020-02-24,3.306613226452906
CODX,2020-01-23,1.8938053097345136
CODX,2020-02-26,2.18957345971564
CODX,2020-02-27,1.843073593073593
CREG,2020-04-15,9.73076923076923
CREX,2020-04-28,3.91
CRIS,2020-06-09,2.6511627906976742
CYCC,2020-04-15,20.61029221618826
DARE,2020-01-13,1.8203592814371259
DGLY,2020-06-08,2.25735294117647
DLPN,2020-06-03,2.1561969439728355
ECOR,2020-03-30,2.813953488372093
ECOR,2020-07-10,1.811764705882353
EFOI,2020-06-12,4.601449275362319
EKSO,2020-03-25,12.974976830398516
EKSO,2020-06-25,3.2666666666666666
EQ,2020-07-13,6.272727272727273
ESTA,2020-03-18,0.5185185185185185
FANG,2020-03-09,0.5436913025724786
GLBS,2020-03-13,1.8103860608131193
GNPX,2020-01-21,3.611111111111111
GNPX,2020-03-17,1.8303030303030303
GRNQ,2020-05-26,1.919692849144137
GRNQ,2020-05-27,1.866666666666667
GRPN,2020-06-11,14.666666666666668
GRTS,2020-07-13,0.5105067985166872
GURE,2020-01-28,4.224326292789512
HOOK,2020-03-17,1.8750000000000002
HTZ,2020-05-26,0.3791208791208791
HTZ,2020-06-04,1.985762457849382
HTZ,2020-06-05,1.811320754716981
HTZ,2020-06-08,2.3715277777777777
IAC,2020-07-01,0.3280787265547877
IBIO,2020-02-27,3.3608815426997247
IFRX,2020-03-31,1.8555240793201133
INMB,2020-07-13,2.43
INO,2020-03-03,1.9215686274509804
IPDN,2020-06-25,2.3076923076923075
IZEA,2020-06-08,2.819672131147541
JAKK,2020-06-12,2.416534181240064
JAKK,2020-07-10,10.057971014492756
LBTYB,2020-05-01,1.8166666666666669
MBRX,2020-04-08,2.256975297671939
MEDS,2020-03-20,1.9441964285714286
MGNX,2020-05-06,3.176470588235294
MIST,2020-03-23,0.28868552412645593
MTC,2020-06-10,0.42388059701492536
MVIS,2020-02-25,0.41173609985410925
MVIS,2020-05-04,2.931726907630522
NERV,2020-05-29,0.28817204301075267
NKLA,2020-06-08,2.4709141274238227
NMRK,2020-03-18,0.5458515283842794
NNBR,2020-04-13,1.8830409356725148
NRBO,2020-02-12,1.80871828236825
NVFY,2020-06-17,2.3376623376623376
