cell,split,obs,mu,p5,p95,outside
T QQQ 1000 p40 [B2],VAL,60.86956521739131,56.85,47.82608695652174,65.21739130434783,inside
T QQQ 1000 p60 [B2],TRAIN,33.9622641509434,34.130188679245286,28.30188679245283,41.509433962264154,inside
T QQQ 1000 p60 [B2],VAL,56.52173913043478,57.52608695652174,47.82608695652174,69.56521739130434,inside
T QQQ 1015 sgn [B2],TRAIN,28.30188679245283,30.828301886792453,24.528301886792452,37.735849056603776,inside
T QQQ 1015 sgn [B2],VAL,52.17391304347826,55.08913043478261,43.47826086956522,65.21739130434783,inside
T QQQ 1015 p20 [B2],TRAIN,26.41509433962264,30.18679245283019,24.528301886792452,37.735849056603776,inside
T QQQ 1015 p20 [B2],VAL,43.47826086956522,54.59130434782608,43.47826086956522,65.21739130434783,inside
T QQQ 1015 p40 [B2],TRAIN,26.41509433962264,30.05,22.641509433962266,35.84905660377358,inside
T QQQ 1015 p40 [B2],VAL,43.47826086956522,54.78913043478261,43.47826086956522,65.21739130434783,inside
T QQQ 1015 p60 [B2],TRAIN,30.18867924528302,32.42358490566038,26.41509433962264,39.62264150943396,inside
T QQQ 1015 p60 [B2],VAL,39.130434782608695,56.03260869565217,47.82608695652174,65.21739130434783,below
T QQQ 1030 sgn [B2],TRAIN,28.30188679245283,28.592452830188684,22.641509433962266,35.84905660377358,inside
T QQQ 1030 sgn [B2],VAL,47.82608695652174,51.873913043478254,39.130434782608695,60.86956521739131,inside
T QQQ 1030 p20 [B2],TRAIN,24.528301886792452,26.20566037735849,18.867924528301888,32.075471698113205,inside
T QQQ 1030 p20 [B2],VAL,47.82608695652174,52.2695652173913,43.47826086956522,60.86956521739131,inside
T QQQ 1030 p40 [B2],TRAIN,26.41509433962264,26.776415094339622,20.754716981132077,33.9622641509434,inside
T QQQ 1030 p40 [B2],VAL,47.82608695652174,52.756521739130434,43.47826086956522,60.86956521739131,inside
T QQQ 1030 p60 [B2],TRAIN,26.41509433962264,27.40471698113208,20.754716981132077,33.9622641509434,inside
T QQQ 1030 p60 [B2],VAL,43.47826086956522,52.958695652173915,43.47826086956522,65.21739130434783,inside
