day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2026-05-21,ENPH,572,571,812,62.42999999999999,target,VAL,,2026-05-18,56.05,52.86,3.1899999999999977,56.05,0.1168388106416276,1.955945200425822,0.04405479957417796,1.8752006269592476,2026-05-21,1.955945200425822
2026-05-21,FCEL,581,580,636,23.190000000000005,target,VAL,,2026-05-18,20.89,19.74,1.1500000000000021,20.89,0.0667906418716257,1.9342550940246734,0.06574490597532658,1.9087739130434784,2026-05-21,1.9342550940246734
2026-05-21,GLWG,590,589,955,29.2,eod,VAL,,2026-05-18,26.97,25.27,1.6999999999999993,26.97,0.1201553398058253,1.2344768589377506,0.07728784694460315,1.2321788235294127,2026-05-21,1.2344768589377506
2026-05-21,IONX,593,592,955,69.39,eod,VAL,,2026-05-18,68.25,64.4756,3.7744,68.25,0.2133108715184194,0.23822624217930827,0.06380851831242566,0.18009935353963558,2026-05-21,0.23822624217930827
2026-05-21,IONQ,593,592,610,61.11,target,VAL,,2026-05-18,57.67,55.95,1.7199999999999989,57.67,0.0367172643869889,1.9648411253564018,0.03515887464359822,1.7736140697674416,2026-05-21,1.9648411253564018
2026-05-21,IRE,578,577,955,30.8,eod,VAL,,2026-05-18,28.6,26.48,2.120000000000001,28.6,0.101219119226638,0.9843872079119623,0.05334864114464054,0.9700754716981124,2026-05-21,0.9843872079119623
2026-05-21,IREX,578,577,955,41.647,eod,VAL,,2026-05-18,38.65,35.65,3.0,38.65,0.172965299684543,0.935991766771819,0.063008233228181,0.9343835333333333,2026-05-21,0.935991766771819
2026-05-21,IREN,578,577,955,57.81,eod,VAL,,2026-05-18,55.37,53.2,2.1699999999999946,55.37,0.030084413034943,1.1001288419193862,0.02429512121425951,0.9522203686635992,2026-05-21,1.1001288419193862
2026-05-21,LITX,585,584,800,48.48000000000001,target,VAL,,2026-05-18,41.88,38.58,3.3000000000000043,41.88,0.1394530443756444,1.9522651380679865,0.0477348619320134,1.9361454545454546,2026-05-21,1.9522651380679865
2026-05-21,LITE,585,584,801,973.2400000000001,target,VAL,,2026-05-18,897.08,859.0,38.08000000000004,897.08,1.5151851851851856,1.9503873638344227,0.049612636165577303,1.8408206092436976,2026-05-21,1.9503873638344227
2026-05-21,LUNL,659,658,955,32.15,eod,VAL,,2026-05-18,32.42,30.8827,1.5373000000000019,32.42,0.1987722772277225,-0.31333264634601254,0.1377000437310364,-0.27956586222598234,2026-05-21,-0.31333264634601254
2026-05-21,MRAM,594,593,955,32.29,eod,VAL,,2026-05-18,31.73,30.25,1.4800000000000004,31.73,0.0856097560975601,0.31188259723137735,0.06649578114700004,0.2711067567567558,2026-05-21,0.31188259723137735
2026-05-21,MUU,587,586,955,547.03,eod,VAL,,2026-05-18,542.5,509.2917,33.20830000000001,542.5,1.9905185185185053,0.06990949496003912,0.06650218525243703,0.026277888359234683,2026-05-21,0.06990949496003912
2026-05-21,NBIG,587,586,955,27.91,eod,VAL,,2026-05-18,27.36,25.6,1.759999999999998,27.36,0.130625,0.23200056818181886,0.08049943181818191,0.23471022727272794,2026-05-21,0.23200056818181886
2026-05-21,NBIS,586,585,955,219.41,eod,VAL,,2026-05-18,214.84,208.8,6.039999999999992,214.84,0.1847253705318213,0.7116597068655923,0.04496280969069895,0.516732516556291,2026-05-21,0.7116597068655923
2026-05-21,NVTS,577,576,835,24.76,target,VAL,,2026-05-18,23.12,22.3,0.8200000000000003,23.12,0.0191502029769959,1.9649680451500051,0.03503195484999499,1.8586243902439024,2026-05-21,1.9649680451500051
