day,symbol,entry_m
2025-03-17,MPAA,676
2025-03-18,ARQQ,602
2025-03-18,BKKT,785
2025-03-18,FINV,577
2025-03-18,FNGD,664
2025-03-18,HRTG,677
2025-03-18,JG,589
2025-03-18,LAZR,587
2025-03-18,MSTZ,578
2025-03-18,RGTI,689
2025-03-18,USAU,756
2025-03-19,FWRD,581
2025-03-19,IBEX,595
2025-03-19,JG,596
2025-03-19,LAZR,579
2025-03-19,LX,586
2025-03-19,PHAT,612
2025-03-19,QNTM,577
2025-03-19,RGNX,578
2025-03-19,SMCL,597
2025-03-19,SMCX,597
2025-03-20,ALBT,577
2025-03-20,CAL,580
2025-03-20,DNTH,578
2025-03-20,ELAB,577
2025-03-20,HROW,583
2025-03-20,IMCR,582
2025-03-20,LSF,687
2025-03-20,MUU,624
2025-03-20,OPRX,577
2025-03-20,PDD,595
2025-03-20,QBTS,577
2025-03-20,RGC,623
2025-03-20,SPCB,684
2025-03-20,TITN,578
2025-03-21,ALNY,591
2025-03-21,GRRR,577
2025-03-21,HCAI,647
2025-03-21,IONX,578
2025-03-21,LAZR,577
2025-03-21,OUST,577
2025-03-21,SCHL,577
2025-03-21,TNXP,577
2025-03-21,TSLL,583
2025-03-24,AMBR,631
2025-03-24,ANAB,577
2025-03-24,ASTS,581
2025-03-24,CPRX,587
2025-03-24,CYN,651
2025-03-24,ELAB,591
2025-03-24,GOGO,807
2025-03-24,IONQ,579
2025-03-24,LUNR,580
2025-03-24,LZMH,778
2025-03-24,MSTU,604
2025-03-24,OKLO,581
2025-03-24,ROOT,580
2025-03-24,RUN,577
2025-03-25,CRWL,583
2025-03-25,DOMH,594
2025-03-25,GDXU,587
2025-03-25,KBH,640
2025-03-25,LYFT,759
2025-03-25,MKC,621
2025-03-25,MLGO,613
2025-03-25,MSTU,644
2025-03-25,SKYH,599
2025-03-25,SMCX,580
2025-03-25,TIPT,626
2025-03-25,TNON,583
2025-03-26,CSIQ,578
2025-03-26,CYD,674
2025-03-26,CYN,617
2025-03-26,DOMH,580
2025-03-26,EHLD,578
2025-03-26,HCAI,609
2025-03-26,LZMH,619
2025-03-26,PROP,800
2025-03-26,TIPT,588
2025-03-26,TNXP,612
2025-03-26,TSDD,621
2025-03-26,WOR,580
2025-03-26,XYF,694
2025-03-27,AEVA,578
2025-03-27,AEYE,607
2025-03-27,BIYA,579
2025-03-27,CNXC,577
2025-03-27,LSF,682
2025-03-27,MLGO,579
2025-03-27,MLKN,609
2025-03-27,MSTU,599
2025-03-27,NBIS,597
2025-03-27,RIOX,617
2025-03-27,SLNO,709
2025-03-27,TSAT,600
2025-03-28,AGX,577
2025-03-28,ALMS,578
2025-03-28,LXEH,697
2025-03-28,MLGO,579
2025-03-28,MSTZ,610
2025-03-28,NVCT,766
2025-03-28,OXM,579
2025-03-28,SKYH,769
2025-03-28,SMCL,577
2025-03-28,SMCX,577
2025-03-31,AEVA,577
2025-03-31,ATEX,585
2025-03-31,CORT,577
2025-03-31,EBS,577
2025-03-31,GDXD,577
2025-03-31,GRRR,579
2025-03-31,LABD,579
2025-03-31,MSTU,610
2025-03-31,PCVX,729
2025-03-31,TNXP,577
2025-03-31,UMC,637
2025-04-01,AARD,764
2025-04-01,ALAR,750
2025-04-01,CTLP,587
2025-04-01,CYD,579
2025-04-01,LZMH,581
2025-04-01,MSTU,678
2025-04-01,QNTM,581
2025-04-01,SOFX,673
2025-04-01,VSTM,647
2025-04-01,ZYBT,597
2025-04-02,CACI,689
2025-04-02,CGNT,577
2025-04-02,DXYZ,579
2025-04-02,FIVE,577
2025-04-02,IONQ,582
2025-04-02,MSTX,578
2025-04-02,NCNO,577
2025-04-02,PLSE,762
2025-04-02,RDDT,577
2025-04-02,RIOX,578
2025-04-02,ROBN,577
2025-04-02,TSLR,591
2025-04-03,AEVA,577
2025-04-03,AGI,583
2025-04-03,COF,748
2025-04-03,CRK,582
2025-04-03,FSLR,580
2025-04-03,GDXJ,617
2025-04-03,GDXU,577
2025-04-03,GT,577
2025-04-03,HIBS,639
2025-04-03,HIMZ,582
2025-04-03,IAG,577
2025-04-03,KINS,672
2025-04-03,MSEX,587
2025-04-03,NUGT,577
2025-04-03,SION,578
2025-04-03,TPB,578
2025-04-04,AAPB,588
2025-04-04,AMZU,582
2025-04-04,BIRK,666
2025-04-04,CGTL,579
2025-04-04,COLM,582
2025-04-04,DLTR,580
2025-04-04,DRV,578
2025-04-04,DUST,595
2025-04-04,ERY,593
2025-04-04,FIVE,666
2025-04-04,GDXD,577
2025-04-04,HIBS,583
2025-04-04,JILL,600
2025-04-04,LULU,666
2025-04-04,MSTZ,577
2025-04-04,NAIL,594
2025-04-04,NKE,665
2025-04-04,ONON,627
2025-04-04,RH,672
2025-04-04,SLP,577
2025-04-04,SOXS,582
2025-04-04,SVIX,598
2025-04-04,TPR,666
2025-04-04,VIXY,648
2025-04-04,VXX,648
2025-04-07,AAPL,613
2025-04-07,ACA,618
2025-04-07,ACLX,614
2025-04-07,ACWI,618
2025-04-07,AFRM,595
2025-04-07,AGI,599
2025-04-07,AGIO,613
2025-04-07,AIQ,613
2025-04-07,AIT,616
2025-04-07,ALNY,617
2025-04-07,ALSN,616
2025-04-07,AMZN,594
2025-04-07,AMZU,586
2025-04-07,AOSL,601
2025-04-07,APEI,613
2025-04-07,APG,615
2025-04-07,APOG,616
2025-04-07,ARLP,608
2025-04-07,ARM,595
2025-04-07,ASC,577
2025-04-07,ASML,612
2025-04-07,ASTE,614
2025-04-07,ASTH,614
2025-04-07,ATI,613
2025-04-07,ATRO,615
2025-04-07,ATS,618
2025-04-07,AVGO,613
2025-04-07,AX,615
2025-04-07,AXP,615
2025-04-07,AXTA,616
2025-04-07,AYI,616
2025-04-07,BA,615
2025-04-07,BABA,613
2025-04-07,BBMC,615
2025-04-07,BBUS,616
2025-04-07,BCC,616
2025-04-07,BDC,618
2025-04-07,BEP,618
2025-04-07,BHE,616
2025-04-07,BHF,617
2025-04-07,BHP,616
2025-04-07,BIRK,615
2025-04-07,BITB,618
2025-04-07,BK,615
2025-04-07,BKLC,616
2025-04-07,BKMC,622
2025-04-07,BKR,616
2025-04-07,BKU,615
2025-04-07,BLD,615
2025-04-07,BLK,616
2025-04-07,BOH,614
2025-04-07,BOTZ,613
2025-04-07,BPOP,615
2025-04-07,BRK.B,616
2025-04-07,BRKU,595
2025-04-07,BRZE,613
2025-04-07,BST,616
2025-04-07,BTC,618
2025-04-07,BUG,617
2025-04-07,BURL,616
2025-04-07,BWXT,615
2025-04-07,BX,615
2025-04-07,BXC,616
2025-04-07,BYD,615
2025-04-07,BZH,615
2025-04-07,CAC,620
2025-04-07,CASH,616
2025-04-07,CAT,616
2025-04-07,CBSH,616
2025-04-07,CE,613
2025-04-07,CELH,613
2025-04-07,CFG,615
2025-04-07,CGGE,621
2025-04-07,CGGO,618
2025-04-07,CGMM,619
2025-04-07,CGUS,616
2025-04-07,CLS,577
2025-04-07,CLW,615
2025-04-07,CMC,613
2025-04-07,COHR,594
2025-04-07,CONL,591
2025-04-07,CPAY,616
2025-04-07,CPNG,615
2025-04-07,CRDO,591
2025-04-07,CRH,615
2025-04-07,CRVL,618
2025-04-07,CRWD,598
2025-04-07,CRWV,615
2025-04-07,CVNA,589
2025-04-07,CWAN,615
2025-04-07,CWEB,594
2025-04-07,CWST,615
2025-04-07,CYTK,615
2025-04-07,DCOR,615
2025-04-07,DES,615
2025-04-07,DFAC,615
2025-04-07,DFAS,614
2025-04-07,DFAT,615
2025-04-07,DFAU,615
2025-04-07,DFH,615
2025-04-07,DFSV,615
2025-04-07,DIA,618
2025-04-07,DIOD,618
