day,symbol,m,px,pb,cb,sp_mean,n_q
2025-10-08,CVE,575,17.140574285714287,b,entry,0.01412188365650959,1805
2026-04-17,CRML,575,11.721858571428571,b,entry,0.01944876783398196,1542
2025-09-15,AMN,575,17.81,b,entry,0.12622222222222293,45
2025-08-22,CVE,575,15.8328,b,entry,0.014392523364486102,2782
2026-02-10,KD,575,11.078,b,entry,0.036963190184049186,652
2026-03-30,SGML,575,14.2978,b,entry,0.0509432799013563,1622
2025-06-05,SILJ,575,15.3801,b,entry,0.012881844380403336,1735
2025-12-04,FTRE,575,13.61,b,entry,0.22363636363636366,66
2025-09-24,SVV,575,12.76,b,entry,0.15199999999999889,5
2025-09-29,SKYT,575,18.8875,b,entry,0.10336956521739063,92
2025-06-10,RUM,575,10.1893,b,entry,0.035457317073170645,328
2025-02-10,KC,575,18.326742857142857,b,entry,0.048218978102189884,685
2025-03-20,PDBC,575,13.395,b,entry,0.009999999999999787,117
2026-01-15,AMPL,575,10.8475,b,entry,0.061944444444444496,144
2025-08-21,RDY,575,14.28,b,entry,0.032083333333334386,48
2025-05-20,TSSI,575,12.5861,b,entry,0.09044943820224706,267
2026-04-21,GRPN,575,16.99,b,entry,0.1421202531645569,316
2025-03-12,DWTX,575,11.807689285714286,b,entry,0.19370689655172416,116
2025-11-10,SGRY,575,18.06392,b,entry,0.1633333333333335,294
2026-02-11,LYFT,575,14.77,b,entry,0.015148104265402845,1688
2026-04-29,SLDE,575,19.275,b,entry,0.3115517241379299,232
2025-05-19,AEVA,575,17.0,b,entry,0.11435318275153995,487
2025-10-28,LEG,575,10.125,b,entry,0.044489795918367485,245
2026-05-27,PEB,575,15.418927857142858,b,entry,0.04553054662379451,311
2025-10-06,AMDL,575,17.36870142857143,b,entry,0.013221977276581337,5897
2025-10-01,AES,575,15.2,b,entry,0.014882242990654132,2675
2025-08-11,ZIM,575,17.995,b,entry,0.017143406382160803,2601
2025-07-08,CC,575,13.111384285714289,b,entry,0.03253472222222199,288
2026-05-14,ARX,575,14.74,b,entry,0.44888888888888856,45
2025-04-04,HTGC,575,17.65,b,entry,0.045578358208955144,536
2025-12-15,TIC,955,10.36,b,late,0.010273972602739507,146
2026-04-13,NVDQ,955,14.84,b,late,0.009999999999999787,1341
2026-02-09,VNET,955,11.855,b,late,0.01000000000000039,338
2026-04-20,SGHC,954,12.04735,b,late,0.010500000000000882,180
2025-12-31,PK,955,10.435,b,late,0.009999999999999787,126
2025-01-17,DHT,955,10.795,b,late,0.010000000000001563,60
2025-06-12,EWH,955,19.905,b,late,0.010000000000001563,153
2025-01-30,PATH,955,14.535,b,late,0.010018315018314804,546
2025-08-19,MBC,955,12.735,b,late,0.009999999999999787,223
2025-11-07,SHC,955,15.56,b,late,0.009999999999999787,308
2026-03-03,ALHC,955,18.46,b,late,0.013888888888888208,360
2025-10-22,FLYW,955,13.56,b,late,0.010099999999999784,200
2025-02-12,BCS,955,15.405,b,late,0.009999999999999787,260
2025-05-30,DFDV,940,18.02757857142857,b,late,0.03120370370370427,108
2025-10-24,NWG,955,15.345,b,late,0.009999999999999787,50
2025-04-21,NNE,948,18.65413142857143,b,late,0.054311377245508476,167
2025-02-07,ETHT,955,11.31,b,late,0.028473945409429914,806
2025-12-01,SOLZ,955,12.815,b,late,0.011052631578947134,133
2025-04-15,SMFG,955,13.585,b,late,0.009999999999999787,204
2026-04-27,OGN,955,13.16,b,late,0.009999999999999787,29
2025-04-14,UTZ,955,13.7,b,late,0.010491803278688651,122
2025-02-12,TSLL,955,18.09,b,late,0.010040657592363413,5657
2026-04-22,PENN,955,14.72,b,late,0.010156599552572875,894
2025-12-15,CSTM,955,18.395,b,late,0.011439999999999485,125
2025-10-15,CWAN,955,17.995,b,late,0.010000000000001563,201
2025-08-19,BTU,955,16.535,b,late,0.010065466448445064,611
2025-08-18,JBS,955,14.9055,b,late,0.009999999999999787,166
2025-04-15,PPTA,955,13.2545,b,late,0.010530303030302807,132
2025-08-22,ELME,955,16.965,b,late,0.010000000000000174,266
2025-06-02,DFDV,955,19.32,b,late,0.3240909090909092,22
2026-04-10,XOVR,955,16.998,b,late,0.010961538461540176,156
2025-12-29,DBRG,955,15.275,b,late,0.009999999999999787,146
2025-07-09,ROIV,955,11.25,b,late,0.009999999999999787,563
2025-06-30,RGC,955,16.81,b,late,0.10564102564102484,39
2025-06-25,KT,955,19.94,b,late,0.00999999999999801,28
2025-03-13,VFC,955,16.255,b,late,0.010053475935828435,374
2025-11-19,SEMR,955,11.8,b,late,0.010000000000001563,106
2026-03-13,RDY,955,14.125,b,late,0.010000000000000536,102
2025-02-06,BCS,955,15.28,b,late,0.010000000000000132,252
2025-06-02,AMTM,955,19.41,b,late,0.014950495049504473,101
2026-04-16,SLDE,950,19.02989285714285,b,late,0.01075966850828713,724
2025-08-20,GTX,954,13.028779285714286,b,late,0.010351089588377676,1652
2025-10-10,PAA,955,15.845,b,late,0.009999999999999787,281
2025-09-23,BBAR,955,10.08,b,late,0.016218487394957636,119
2025-01-03,FRO,955,14.255,b,late,0.009999999999999787,149
2025-05-27,PDBC,955,12.765,b,late,0.009999999999999787,127
2025-05-29,MNRO,955,15.885,b,late,0.01144927536231888,138
2026-01-15,RGTZ,955,16.085,b,late,0.033634259259259364,432
2025-07-03,RGC,955,19.42,b,late,0.06285714285714253,7
2025-01-13,BCS,955,12.82,b,late,0.009999999999999787,218
2025-02-10,CERT,946,13.92459,b,late,0.01092307692307669,130
2025-01-22,NVDX,955,16.4199,b,late,0.010004070004070225,2457
2026-01-08,RDY,955,13.395,b,late,0.010000000000000665,180
2026-03-16,BTAL,909,14.179827142857144,b,late,0.011932989690721395,388
2025-11-11,SCO,955,17.66,b,late,0.010000000000001123,145
2025-02-05,XPEV,955,16.515,b,late,0.010015698587126934,637
2026-04-15,BBNX,955,12.99,b,late,0.02095890410958909,146
2025-12-02,ENR,955,17.085,b,late,0.01292682926829297,82
2025-02-10,DNA,955,13.425,b,late,0.023333333333333987,159
2026-05-15,TNDM,955,12.655,b,late,0.012191358024691575,324
2025-04-02,CERT,955,10.24,b,late,0.011323076923076764,325
2026-04-13,AAPD,955,13.672,b,late,0.01006507592190868,461
2025-03-14,XP,955,14.645,b,late,0.009999999999999787,1019
2026-03-13,PAR,955,14.685,b,late,0.012425149700598537,334
2025-01-03,NVDX,955,16.15,b,late,0.010017611835153767,2839
2025-10-13,CTLP,955,10.605,b,late,0.009999999999999787,18
2025-01-23,TXG,955,14.975,b,late,0.010441176470588013,136
2026-02-10,KD,955,11.085,b,late,0.010071428571428356,560
2026-04-09,ADTN,955,14.795,b,late,0.01386138613861386,303
2025-07-01,BUR,955,13.155,b,late,0.009999999999999787,200
2025-07-22,KSS,580,16.35,b,mid,0.037362184441009846,5823
2025-05-20,ALHC,593,15.584600714285717,b,mid,0.021619047619047788,420
2025-04-15,SNDX,695,11.16,b,mid,0.046666666666665926,21
2025-08-07,RELY,578,19.13133,b,mid,0.023824175824177105,3185
2025-10-10,TAL,576,10.922571428571429,b,mid,0.011398963730569917,193
2026-04-27,KALV,797,19.686844285714287,b,mid,0.03210526315789387,38
2026-01-27,RUN,603,19.924930714285715,b,mid,0.034204545454545834,88
2025-12-03,GSBD,576,10.102485,b,mid,0.01231759656652338,233
2025-06-30,DLO,609,11.512919285714286,b,mid,0.022678571428570944,56
2025-01-02,GRRR,580,19.38798285714286,b,mid,0.1810471204188483,191
2025-01-07,NVDX,602,16.19292142857143,b,mid,0.010443562305833303,5794
2025-05-27,SBLK,577,15.995377142857144,b,mid,0.03395604395604368,91
2025-02-07,DNA,580,14.151130714285712,b,mid,0.1410000000000005,50
2026-04-22,HIMX,577,11.986377857142855,b,mid,0.027599009900989915,404
2025-01-30,DHT,603,11.214560714285714,b,mid,0.011163793103448949,232
2025-07-16,PAA,748,18.66240857142857,b,mid,0.010000000000000293,165
2025-02-10,QMCO,582,17.801784285714284,b,mid,0.18847826086956587,46
2025-02-11,UNG,590,18.638508571428574,b,mid,0.01000000000000013,1046
2025-10-02,RIVN,576,13.544889285714286,b,mid,0.010149565217391259,2875
2025-01-13,PTLE,591,12.53793857142857,b,mid,0.08679487179487151,78
2025-06-04,OPFI,577,13.764226428571428,b,mid,0.11951807228915654,166
2026-02-13,TXG,582,19.634007142857143,b,mid,0.11876923076923114,130
2025-03-31,DNLI,577,14.009003571428572,b,mid,0.16600000000000037,5
2026-05-21,RLAY,577,15.082334285714287,b,mid,0.048552338530066796,449
2025-02-24,HR,576,16.573892857142855,b,mid,0.029675925925925547,216
2025-01-08,MSTZ,577,17.821594285714284,b,mid,0.02810876132930539,1655
2025-09-15,OBDC,598,13.976715714285715,b,mid,0.011764705882352691,34
2025-04-25,EBC,610,14.934821428571428,b,mid,0.014523809523809364,462
2026-05-05,HR,578,19.620620714285717,b,mid,0.013916083916083608,286
2025-03-18,BVN,588,15.680993571428573,b,mid,0.06670157068062821,191
2025-12-02,GDOT,646,12.73,b,mid,0.022142857142856798,28
2025-12-16,BSOL,586,16.825,b,mid,0.024063205417607165,886
2025-11-14,PDBC,576,13.632902142857144,b,mid,0.010000000000000092,268
2025-08-13,SGHC,737,11.516528571428571,b,mid,0.010833333333333103,48
2025-07-03,TRIP,592,17.228928571428572,b,mid,0.017098515519567804,741
2025-02-10,HSAI,577,19.315082142857143,b,mid,0.03850729517396172,891
2026-01-21,SBH,577,17.59411857142857,b,mid,0.08287037037037115,108
2025-03-17,DEI,603,15.798321428571429,b,mid,0.01561338289962911,269
2025-10-27,NTLA,582,14.644840714285714,b,mid,0.03341880341880349,1755
2025-12-05,QNRX,652,13.448739285714286,b,mid,0.33599999999999997,5
2025-03-17,BVN,805,15.256259285714286,b,mid,0.029999999999999815,78
2026-03-19,DLO,581,13.306164285714289,b,mid,0.0392544987146527,389
2025-07-11,SILJ,577,15.533757857142858,b,mid,0.011917159763313959,845
2025-08-04,LFMD,587,11.353692857142857,b,mid,0.03186131386861299,274
2025-01-06,SEDG,587,18.052451428571427,b,mid,0.05049315068493147,1095
2025-09-11,AIRO,585,19.718887857142857,b,mid,0.09266666666666683,60
2025-02-07,PGY,578,12.64168,b,mid,0.025269461077844294,167
2026-01-05,OI,576,15.639759285714286,b,mid,0.03471544715447189,123
