day,symbol,hour,entry_m,entry,gate5,is_sig,sig_day,rr_bare,why_bare,exitm_bare
2025-01-08,HNRG,9,600,11.78,False,False,False,1.5280135823429606,eod,955
2025-01-08,HNRG,10,661,12.09,False,False,False,-1.0489999999999973,stop,705
2025-01-08,HNRG,11,724,11.9,False,False,False,-1.0489999999999975,stop,770
2025-01-08,HNRG,12,780,11.7527,False,False,False,1.6477064844673988,eod,955
2025-01-08,HNRG,13,840,11.76,False,False,False,1.6156462585033995,eod,955
2025-01-08,HNRG,14,901,12.12,False,False,False,0.0825082508250881,eod,955
2025-01-08,IAS,9,600,10.16,False,False,False,0.04921259842519563,eod,955
2025-01-08,IAS,10,660,10.3,True,False,False,-0.6310679611650538,eod,955
2025-01-08,IAS,11,720,10.33,True,False,False,-0.7744433688286555,eod,955
2025-01-08,IAS,12,780,10.33,True,False,False,-0.7744433688286555,eod,955
2025-01-08,IAS,13,840,10.24,True,False,False,-0.3417968750000005,eod,955
2025-01-08,IAS,14,900,10.205,True,False,False,-0.17148456638902534,eod,955
2025-01-08,KODK,9,600,6.105,False,False,False,0.49140049140048603,eod,955
2025-01-08,KODK,10,660,6.12,False,False,False,0.3676470588235293,eod,955
2025-01-08,KODK,11,722,6.12,False,False,False,0.3676470588235293,eod,955
2025-01-08,KODK,12,780,6.09,False,False,False,0.6157635467980292,eod,955
2025-01-08,KODK,13,840,6.08,False,False,False,0.699013157894737,eod,955
2025-01-08,KODK,14,900,6.095,False,False,False,0.5742411812961461,eod,955
2025-01-08,LSAK,14,901,5.24,False,False,False,0.4217557251908398,eod,956
2025-01-08,LXEO,10,663,7.0425,False,False,True,-1.0607028753993581,stop,947
2025-01-08,LXEO,11,720,7.045,False,False,True,-1.0780695528743733,stop,947
2025-01-08,LXEO,12,780,7.04,False,False,True,-1.0490000000000022,stop,948
2025-01-08,LXEO,13,842,7.03,False,False,True,-1.0490000000000026,stop,948
2025-01-08,LXEO,14,901,7.01,False,True,True,-1.048999999999997,stop,953
2025-01-08,MGTX,9,600,6.23,False,False,True,1.003210272873194,eod,955
2025-01-08,MGTX,10,660,6.19,False,False,True,1.332794830371566,eod,955
2025-01-08,MGTX,11,720,6.31,False,False,True,0.35657686212362016,eod,955
2025-01-08,MGTX,12,780,6.27,False,False,True,0.6778309409888428,eod,955
2025-01-08,MGTX,13,840,6.315,False,False,True,0.3167062549485342,eod,955
