day,symbol,hour,entry_m,entry,ref,sess_open,hour_high,price,gate5,f_mir2,f_up2,f_abs,f_rand,filled_cap,uptick,low_to_entry,sess_low,stop_a,rpct_a,rr_a_bare,why_a_bare,exitm_a_bare,rr_a_tgt,why_a_tgt,exitm_a_tgt,stop_b,rpct_b,rr_b_bare,why_b_bare,exitm_b_bare,rr_b_tgt,why_b_tgt,exitm_b_tgt
2025-01-30,JMIA,11,720,4.26,4.26,3.99,4.27,4.26,True,True,True,False,False,True,False,3.99,3.99,4.3452,0.02000000000000009,0.8215962441314446,eod,955,0.8215962441314446,eod,955,4.3026,0.010000000000000045,1.6431924882628892,eod,955,2.0,target,769
2025-01-30,KRNY,13,840,6.725,6.725,7.1,7.03,6.725,False,True,False,False,False,True,False,6.725,6.72,6.8595,0.02000000000000001,-1.0509999999999935,stop,847,-1.0509999999999935,stop,847,7.03,0.04535315985130121,-1.023049180327867,stop,872,-1.023049180327867,stop,872
2025-01-30,KRNY,14,900,6.91,6.91,7.1,7.03,6.91,False,True,True,False,False,True,False,6.72,6.72,7.0482000000000005,0.020000000000000046,0.036179450072358045,eod,955,0.036179450072358045,eod,955,7.03,0.017366136034732287,0.04166666666666574,eod,955,0.04166666666666574,eod,955
2025-01-30,MSFL,10,660,22.27,22.26,22.66,22.88,22.27,False,True,False,False,False,True,True,22.11,22.02,22.7154,0.019999999999999973,-0.1796138302649348,eod,955,-0.1796138302649348,eod,955,22.88,0.027391109115401862,-0.1311475409836097,eod,955,-0.1311475409836097,eod,955
2025-01-30,MSFL,11,720,22.34,22.36,22.66,22.39,22.34,False,False,False,True,False,True,False,22.02,22.02,22.7868,0.019999999999999983,-0.022381378692931,eod,955,-0.022381378692931,eod,955,22.5634,0.010000000000000071,-0.04476275738586165,eod,955,-0.04476275738586165,eod,955
2025-01-30,NAMS,14,900,21.89,21.83,20.92,21.95,21.89,True,False,False,True,False,True,True,20.4,20.4,22.3278,0.01999999999999997,0.5481955230699004,eod,955,0.5481955230699004,eod,955,22.108900000000002,0.010000000000000064,1.0963910461397919,eod,955,2.0,target,941
2025-01-30,ORIC,14,900,11.07,11.02,11.32,11.2,11.07,False,False,False,True,False,True,True,10.87,10.73,11.291400000000001,0.020000000000000084,1.0388437217705486,eod,955,1.0388437217705486,eod,955,11.2,0.011743450767840922,-1.0861538461538374,stop,905,-1.0861538461538374,stop,905
2025-01-30,RCKT,10,660,10.39,10.39,10.51,10.49,10.39,False,False,False,True,False,True,False,10.25,10.25,10.597800000000001,0.020000000000000063,-1.1097690086621566,stop,824,-1.1097690086621566,stop,824,10.4939,0.009999999999999945,-1.100999999999985,stop,664,-1.100999999999985,stop,664
2025-01-30,SLN,13,840,5.235,5.23,5.25,5.31,5.235,False,False,False,True,False,True,True,5.0,5.0,5.339700000000001,0.020000000000000046,0.7163323782234958,eod,955,0.7163323782234958,eod,955,5.31,0.014326647564469778,1.0000000000000118,eod,955,1.0000000000000118,eod,955
2025-01-30,SSYS,11,720,9.57,9.56,9.6,9.68,9.57,False,False,False,True,False,True,True,9.3926,9.37,9.7614,0.019999999999999976,0.7836990595611313,eod,955,0.7836990595611313,eod,955,9.68,0.01149425287356316,1.363636363636374,eod,955,1.363636363636374,eod,955
