symbol,tradable,shortable,easy_to_borrow,exchange
BBHY,True,False,False,AssetExchange.BATS
HLN,True,True,True,AssetExchange.NYSE
HLNE,True,True,True,AssetExchange.NASDAQ
BBHM,True,False,False,AssetExchange.ARCA
HNRG,True,True,True,AssetExchange.NASDAQ
XCHG,True,False,False,AssetExchange.ARCA
BBHL,True,False,False,AssetExchange.ARCA
HNST,True,True,True,AssetExchange.NASDAQ
BBH,True,False,False,AssetExchange.NASDAQ
BBGI,True,False,False,AssetExchange.NASDAQ
HNVR,True,True,True,AssetExchange.NASDAQ
MTN,True,True,True,AssetExchange.NYSE
BBEM,True,False,False,AssetExchange.BATS
BBDO,True,False,False,AssetExchange.NYSE
HOFT,True,True,True,AssetExchange.NASDAQ
HOG,True,True,True,AssetExchange.NYSE
HOMB,True,True,True,AssetExchange.NYSE
BBCB,True,False,False,AssetExchange.BATS
BBAX,True,False,False,AssetExchange.BATS
HON,True,True,True,AssetExchange.NASDAQ
HONA,True,True,True,AssetExchange.NASDAQ
HOOD,True,True,True,AssetExchange.NASDAQ
HOS,True,True,True,AssetExchange.NYSE
HOUR,True,True,True,AssetExchange.NASDAQ
BBAI.WS,True,False,False,AssetExchange.NYSE
HOV,True,True,True,AssetExchange.NYSE
HP,True,True,True,AssetExchange.NYSE
HPF,True,True,True,AssetExchange.NYSE
JNJ,True,True,True,AssetExchange.NYSE
HPK,True,True,True,AssetExchange.NASDAQ
HPP,True,True,True,AssetExchange.NYSE
EUO,True,True,True,AssetExchange.ARCA
TY.PR,True,False,False,AssetExchange.NYSE
HQY,True,True,True,AssetExchange.NASDAQ
BAY,True,False,False,AssetExchange.BATS
BATT,True,False,False,AssetExchange.ARCA
HR,True,True,True,AssetExchange.NYSE
HRB,True,True,True,AssetExchange.NYSE
HRL,True,True,True,AssetExchange.NYSE
BAMY,True,False,False,AssetExchange.BATS
GQGU,True,False,False,AssetExchange.ARCA
HRMY,True,True,True,AssetExchange.NASDAQ
HROW,True,True,True,AssetExchange.NASDAQ
BAMV,True,False,False,AssetExchange.BATS
HSTM,True,True,True,AssetExchange.NASDAQ
BAMU,True,False,False,AssetExchange.BATS
HTD,True,True,True,AssetExchange.NYSE
BAMO,True,False,False,AssetExchange.BATS
BAMD,True,False,False,AssetExchange.BATS
HTEC,True,True,True,AssetExchange.ARCA
HTHT,True,True,True,AssetExchange.NASDAQ
HTT,True,True,True,AssetExchange.NYSE
BACC,True,False,False,AssetExchange.NASDAQ
HLF,True,True,True,AssetExchange.NYSE
BAC.PRS,True,False,False,AssetExchange.NYSE
HURC,True,True,True,AssetExchange.NASDAQ
BABX,True,False,False,AssetExchange.NASDAQ
HUT,True,True,True,AssetExchange.NASDAQ
HVT,True,True,True,AssetExchange.NYSE
BABO,True,False,False,AssetExchange.ARCA
BABC,True,False,False,AssetExchange.BATS
HYBI,True,True,True,AssetExchange.NASDAQ
HYEM,True,True,True,AssetExchange.ARCA
TVGNW,True,False,False,AssetExchange.NASDAQ
TVE,True,False,False,AssetExchange.NYSE
HYFT,True,True,True,AssetExchange.NASDAQ
BAB,True,False,False,AssetExchange.ARCA
AZYY,True,False,False,AssetExchange.NASDAQ
HYGV,True,True,True,AssetExchange.ARCA
HYIN,True,True,True,AssetExchange.BATS
HYLB,True,True,True,AssetExchange.ARCA
HYMC,True,True,True,AssetExchange.NASDAQ
AZIO,True,False,False,AssetExchange.NASDAQ
AZI,True,False,False,AssetExchange.NASDAQ
CALX,True,True,True,AssetExchange.NYSE
HYPD,True,True,True,AssetExchange.NASDAQ
AXTX,True,False,False,AssetExchange.BATS
AXTC,True,False,False,AssetExchange.BATS
AXINU,True,False,False,AssetExchange.NASDAQ
HYS,True,True,True,AssetExchange.ARCA
