period_end,days,pnl_price,pnl_borrow,pnl_txn,pnl_net
2024-08-09,7,568.72,-24.96,-32.54,511.21
2024-08-16,7,-488.01,-24.96,-32.54,-545.52
2024-08-23,7,97.9,-24.96,-32.54,40.4
2024-08-30,7,-12.48,-24.96,-32.54,-69.98
2024-09-06,7,-520.37,-24.96,-32.54,-577.88
2024-09-13,7,-733.78,-24.96,-32.54,-791.28
2024-09-20,7,13.15,-24.96,-32.54,-44.35
2024-09-27,7,23.77,-24.96,-32.54,-33.74
2024-10-04,7,69.14,-24.96,-32.54,11.63
2024-10-11,7,80.92,-24.96,-32.54,23.41
2024-10-18,7,37.27,-24.96,-32.54,-20.23
2024-10-25,7,47.11,-24.96,-32.54,-10.4
2024-11-01,7,147.72,-24.96,-32.54,90.22
2024-11-08,7,-553.48,-24.96,-32.54,-610.98
2024-11-15,7,-222.1,-24.96,-32.54,-279.6
2024-11-22,7,-68.67,-24.96,-32.54,-126.17
2024-11-29,7,6.68,-24.96,-32.54,-50.82
2024-12-06,7,-213.19,-24.96,-32.54,-270.7
2024-12-13,7,107.45,-24.96,-32.54,49.95
2024-12-20,7,271.44,-24.96,-32.54,213.93
2024-12-27,7,101.17,-24.96,-32.54,43.66
2025-01-03,7,103.39,-24.96,-32.54,45.89
2025-01-10,7,23.7,-24.96,-32.54,-33.8
2025-01-17,7,28.0,-24.96,-32.54,-29.5
2025-01-24,7,-9.13,-24.96,-32.54,-66.63
2025-01-31,7,232.79,-24.96,-32.54,175.28
2025-02-07,7,111.84,-24.96,-32.54,54.34
2025-02-14,7,-159.27,-24.96,-32.54,-216.78
2025-02-21,7,-53.8,-24.96,-32.54,-111.3
2025-02-28,7,35.27,-24.96,-32.54,-22.24
2025-03-07,7,80.16,-24.96,-32.54,22.65
2025-03-14,7,528.54,-24.96,-32.54,471.04
2025-03-21,7,143.37,-24.96,-32.54,85.86
2025-03-28,7,243.7,-24.96,-32.54,186.19
2025-04-04,7,-1030.21,-24.96,-32.54,-1087.72
2025-04-11,7,3212.24,-24.96,-32.54,3154.73
2025-04-17,6,114.1,-21.4,-32.54,60.16
2025-04-25,8,-379.03,-28.53,-32.54,-440.1
2025-05-02,7,-235.06,-24.96,-32.54,-292.56
2025-05-09,7,27.43,-24.96,-32.54,-30.08
2025-05-16,7,-761.9,-24.96,-32.54,-819.4
2025-05-23,7,-136.29,-24.96,-32.54,-193.8
2025-05-30,7,42.32,-24.96,-32.54,-15.18
2025-06-06,7,-61.75,-24.96,-32.54,-119.26
2025-06-13,7,4.91,-24.96,-32.54,-52.59
2025-06-20,7,71.72,-24.96,-32.54,14.21
2025-06-27,7,-364.51,-24.96,-32.54,-422.01
2025-07-03,6,-33.11,-21.4,-32.54,-87.05
2025-07-11,8,10.3,-28.53,-32.54,-50.77
2025-07-18,7,-48.04,-24.96,-32.54,-105.55
2025-07-25,7,-35.71,-24.96,-32.54,-93.22
2025-08-01,7,-63.91,-24.96,-32.54,-121.41
2025-08-08,7,-232.33,-24.96,-32.54,-289.83
2025-08-15,7,5.32,-24.96,-32.54,-52.18
2025-08-22,7,103.34,-24.96,-32.54,45.83
2025-08-29,7,-4.98,-24.96,-32.54,-62.48
2025-09-05,7,11.98,-24.96,-32.54,-45.53
2025-09-12,7,-92.4,-24.96,-32.54,-149.91
2025-09-19,7,-103.63,-24.96,-32.54,-161.13
2025-09-26,7,1.2,-24.96,-32.54,-56.3
2025-10-03,7,-62.25,-24.96,-32.54,-119.75
2025-10-10,7,249.06,-24.96,-32.54,191.56
2025-10-17,7,0.02,-24.96,-32.54,-57.49
2025-10-24,7,-25.74,-24.96,-32.54,-83.24
2025-10-31,7,52.8,-24.96,-32.54,-4.7
2025-11-07,7,-92.5,-24.96,-32.54,-150.0
2025-11-14,7,279.18,-24.96,-32.54,221.68
2025-11-21,7,-98.68,-24.96,-32.54,-156.19
2025-11-28,7,-404.65,-24.96,-32.54,-462.16
2025-12-05,7,-40.81,-24.96,-32.54,-98.31
2025-12-12,7,-38.99,-24.96,-32.54,-96.5
2025-12-19,7,209.33,-24.96,-32.54,151.82
2025-12-26,7,-65.02,-24.96,-32.54,-122.53
2026-01-02,7,-65.3,-24.96,-32.54,-122.8
2026-01-09,7,-90.58,-24.96,-32.54,-148.08
2026-01-16,7,-16.68,-24.96,-32.54,-74.19
2026-01-23,7,179.85,-24.96,-32.54,122.34
2026-01-30,7,54.37,-24.96,-32.54,-3.14
2026-02-06,7,223.68,-24.96,-32.54,166.17
2026-02-13,7,88.69,-24.96,-32.54,31.19
2026-02-20,7,-11.81,-24.96,-32.54,-69.32
2026-02-27,7,132.09,-24.96,-32.54,74.59
2026-03-06,7,99.78,-24.96,-32.54,42.27
2026-03-13,7,93.98,-24.96,-32.54,36.48
2026-03-20,7,79.87,-24.96,-32.54,22.37
2026-03-27,7,1.4,-24.96,-32.54,-56.1
2026-04-02,6,-46.59,-21.4,-32.54,-100.52
2026-04-10,8,-307.95,-28.53,-32.54,-369.02
2026-04-17,7,-834.02,-24.96,-32.54,-891.53
2026-04-24,7,38.67,-24.96,-32.54,-18.83
2026-05-01,7,-9.24,-24.96,-32.54,-66.74
2026-05-08,7,-514.63,-24.96,-32.54,-572.13
2026-05-15,7,87.6,-24.96,-32.54,30.1
2026-05-22,7,43.38,-24.96,-32.54,-14.13
2026-05-29,7,-133.95,-24.96,-32.54,-191.45
2026-06-05,7,62.0,-24.96,-32.54,4.5
2026-06-12,7,384.62,-24.96,-32.54,327.12
2026-06-18,6,424.31,-21.4,-32.54,370.38
2026-06-26,8,-345.43,-28.53,-32.54,-406.5
2026-07-02,6,380.64,-21.4,-32.54,326.71
2026-07-10,8,136.63,-28.53,-32.54,75.56
2026-07-17,7,-302.91,-24.96,-32.54,-360.41
2026-07-24,7,180.02,-24.96,-32.54,122.51
2026-07-31,7,450.54,-24.96,-32.54,393.03
2026-08-07,7,-250.27,-24.96,-32.54,-307.77
2026-08-14,7,3.4,-24.96,-32.54,-54.1
2026-08-21,7,-113.47,-24.96,-32.54,-170.97
2026-08-28,7,86.04,-24.96,-32.54,28.53
2026-09-04,7,72.32,-24.96,-32.54,14.81
2026-09-11,7,29.69,-24.96,-32.54,-27.81
2026-09-18,7,77.95,-24.96,-32.54,20.44
2026-09-24,6,24.92,-21.4,-32.54,-29.02
