Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
12105,2025-11-03,PYXS,585,1,600.0,target,1.9999999999999971,4.0424121935056405,3.309630945883234,2.1770906524858207,3.7725000000000004,852239.75,0.0,8.081896551724132,TRAIN,2025-11-01/2025-11-07
12091,2025-11-03,CWD,587,1,625.0,stop,-1.3152396940869215,3.5291561886956506,2.2148120035641066,1.7159236357736467,3.03812,210561.15,0.0,5.911188811188817,TRAIN,2025-11-01/2025-11-07
12081,2025-11-03,AGCC,706,1,719.0,stop,-1.0246794096298093,3.8941705218923444,1.040184921891064,1.3036999585024631,6.36798,279051.71428571426,0.0,10.417217391304344,TRAIN,2025-11-01/2025-11-07
12101,2025-11-03,MD,738,1,803.0,stop,-1.0542680201749384,1.8093646141743496,3.625737123993745,9.63524974499397,20.602779400000003,724101.25,0.0,5.232273053278691,TRAIN,2025-11-01/2025-11-07
12092,2025-11-03,DTIL,779,1,900.0,eod,-0.02271034996277394,2.855593710464497,3.1018879495691944,4.326160119055054,7.5248800000000005,176806.2,0.0,16.316899224806193,TRAIN,2025-11-01/2025-11-07
12093,2025-11-03,ESLA,781,1,828.0,stop,-1.0403229461756363,2.4199629807362792,3.208716399377224,2.495192494142552,2.9174,388421.3,0.0,19.69958847736624,TRAIN,2025-11-01/2025-11-07
12131,2025-11-04,BQ,576,1,955.0,eod,-0.20073633217061604,3.7390581036707644,2.4470578596308155,3.771719815099449,3.1788594,1331948.4,0.0,5.295006644518252,TRAIN,2025-11-01/2025-11-07
12212,2025-11-04,UUUU,576,1,955.0,eod,-0.014778325123151357,4.430980880296859,4.333173806528823,1.2663764656565777,16.9511,35384876.3,0.0,5.628437499999994,TRAIN,2025-11-01/2025-11-07
12163,2025-11-04,LQDA,577,1,598.0,target,2.0,4.014700304554048,4.357450916420376,4.451736011302268,26.618659400000006,2474437.05,0.0,7.294439862542945,TRAIN,2025-11-01/2025-11-07
12122,2025-11-04,AREC,579,1,681.0,target,2.0,4.2110970540394,3.5680520497092445,1.129273387253758,3.8731,16044060.15,0.0,5.941015089163226,TRAIN,2025-11-01/2025-11-07
12182,2025-11-04,ORBS,598,1,600.0,target,2.0,2.593892907331449,1.4711930611305113,0.8914627487128539,4.255380000000001,4200516.0,0.0,5.017079207920783,TRAIN,2025-11-01/2025-11-07
12190,2025-11-04,RYTM,624,1,734.0,stop,-1.040186070551751,3.725347671838238,4.707099080586124,5.479911966422256,112.17906000000002,570429.75,0.0,9.15921335155183,TRAIN,2025-11-01/2025-11-07
12151,2025-11-04,ICG,911,1,925.0,stop,-1.0455038957721263,2.352038130116156,1.7436891887061272,0.9339074777330711,1.0651528,130938.45,0.0,5.146178217821773,TRAIN,2025-11-01/2025-11-07
12230,2025-11-05,BCO,581,1,955.0,eod,0.8417589192906518,2.268614444214603,4.5791851673809,33.15201104100946,111.53018999999999,201456.05,0.0,5.6810444782360525,TRAIN,2025-11-01/2025-11-07
12238,2025-11-05,CORT,585,1,955.0,eod,0.7740800783042199,3.5019409405635242,1.4052559999165246,3.3888220232725845,74.68544,940447.65,0.0,11.138388059701487,TRAIN,2025-11-01/2025-11-07
12222,2025-11-05,AMDL,590,1,955.0,eod,1.2339416318994552,4.320474845451794,3.9201846740908426,2.9544196563702423,22.690330000000003,24685303.6,1.0,5.86179223210106,TRAIN,2025-11-01/2025-11-07
12265,2025-11-05,IRE,593,1,602.0,stop,-1.0249992431594293,3.8462658080771055,4.961248632290976,2.1318584427454907,27.6536322,4429792.9,1.0,8.334640864440068,TRAIN,2025-11-01/2025-11-07
12237,2025-11-05,CORD,605,1,955.0,eod,0.4861388968276618,4.182121698665727,4.020077568571376,2.2100470438804134,25.099700000000002,141868.35,1.0,6.217529711375214,TRAIN,2025-11-01/2025-11-07
12233,2025-11-05,CDNA,955,1,956.0,eod,0.003717472118963625,1.620579552985131,4.225785601214186,13.256889947189071,16.599,1024281.7,0.0,5.076190476190456,TRAIN,2025-11-01/2025-11-07
12383,2025-11-06,SMRT,582,1,654.0,stop,-1.037989255564082,2.5648091648130915,2.9227686066838805,87.19003704579485,1.52409,934379.45,0.0,7.010211267605615,TRAIN,2025-11-01/2025-11-07
12386,2025-11-06,TECX,582,1,596.0,target,2.0,4.319193836422507,4.991805167387278,3.027269656923092,17.99734,687126.3,0.0,6.5538598574821805,TRAIN,2025-11-01/2025-11-07
12335,2025-11-06,DNTH,584,1,955.0,eod,0.5058157044368696,3.430938459703914,1.7125479442858906,61.031108004194266,35.808569999999996,503440.65,0.0,5.470561299852261,TRAIN,2025-11-01/2025-11-07
12345,2025-11-06,FTRE,585,1,588.0,stop,-1.032628849357767,2.9736372760223357,3.0265195755989818,4.516288645652298,12.514640000000002,1193904.8,0.0,5.382770270270254,TRAIN,2025-11-01/2025-11-07
12341,2025-11-06,FLL,588,1,607.0,stop,-1.0254299246638487,3.7835900507421236,3.451699924498917,38.28160831677111,2.8269606,213257.2,0.0,17.930138075313785,TRAIN,2025-11-01/2025-11-07
12320,2025-11-06,ACRS,596,1,695.0,stop,-1.032886458755232,2.9510312872265523,3.7957812759932574,3.185563218546661,2.5099700000000005,1455574.1,0.0,9.278820960698674,TRAIN,2025-11-01/2025-11-07
12391,2025-11-06,VVPR,608,1,638.0,stop,-1.0230549607423256,4.157146672205594,2.490566478970937,2.641245275090594,3.3701000000000008,586073.85,0.0,5.995268138801246,TRAIN,2025-11-01/2025-11-07
12374,2025-11-06,RNAC,733,1,900.0,eod,0.04953820319059762,3.7190469746963175,1.4332450280349889,4.93467589531761,7.68584,143344.45,0.0,28.14247491638793,TRAIN,2025-11-01/2025-11-07
12429,2025-11-07,ECX,576,1,787.0,stop,-1.0262717186518735,3.6668022751521994,3.738023268048524,7.514938579604797,2.6055400000000004,5749600.15,0.0,5.600406504065036,TRAIN,2025-11-01/2025-11-07
12394,2025-11-07,ABAT,581,1,595.0,target,2.0000000000000036,3.205439280328544,1.967232290633581,0.5846911847204472,3.8328600000000006,21644763.8,0.0,6.150833333333305,TRAIN,2025-11-01/2025-11-07
12401,2025-11-07,AMTX,581,1,858.0,target,2.0,2.439808587826158,3.2355242402497613,1.7798736124924706,1.8661300000000003,1377805.9,0.0,6.317999999999979,TRAIN,2025-11-01/2025-11-07
12461,2025-11-07,MP,581,1,741.0,target,2.0,2.9424060779047636,4.985540825253487,2.7369764742934057,53.19728000000001,20394358.85,0.0,5.318983320095305,TRAIN,2025-11-01/2025-11-07
12411,2025-11-07,BLNK,597,1,873.0,target,2.0,3.283004674654776,2.8117505905385087,1.4580896134345969,1.48888,4020930.95,0.0,7.959272727272704,TRAIN,2025-11-01/2025-11-07
12428,2025-11-07,DVLT,776,1,892.0,target,2.0,4.513707230302401,1.1367704306899784,0.9356155385225876,1.52912,66996533.65,0.0,22.45461847389556,TRAIN,2025-11-01/2025-11-07
12415,2025-11-07,CE,854,1,937.0,stop,-1.0842346771550297,1.1732314046090975,2.235003467397915,5.727170179218561,41.60816,2034128.75,0.0,5.799744963019604,TRAIN,2025-11-01/2025-11-07
12499,2025-11-07,UMAC,894,1,920.0,stop,-1.054646870811421,1.7970462407289864,1.89866408031066,2.023265961347144,10.794380000000002,4811483.5,0.0,7.621899999999981,TRAIN,2025-11-01/2025-11-07
