day,symbol,m,sp_mean,sp_med,mid_med,bid_med,bid_max,n_q,err
2025-11-07,XYZ,650,0.03093350383631782,0.030000000000001137,64.9,64.88,64.99,782,
2025-11-11,DTIL,955,0.035217391304347555,0.02999999999999936,5.99,5.98,5.99,46,
2025-11-13,NESR,869,0.06999999999999942,0.07000000000000028,13.815000000000001,13.79,13.82,39,
2025-11-14,VIA,955,0.1751351351351363,0.12500000000000355,43.735,43.7,43.74,74,
2025-11-14,VSEC,910,0.40258064516128267,0.3499999999999943,173.3,173.1,173.44,31,
2025-11-18,CEVA,601,0.0891228070175424,0.08999999999999986,21.77,21.73,21.8,57,
2025-11-18,CEVA,606,0.18792207792207896,0.15000000000000213,21.865000000000002,21.75,21.86,77,
2025-11-18,CEVA,607,0.15242424242424288,0.16000000000000014,21.93,21.87,21.99,33,
2025-11-18,CEVA,667,0.09943396226415113,0.10999999999999943,20.995,20.95,21.0,53,
2025-11-18,CEVA,668,0.09399999999999906,0.08999999999999986,21.034999999999997,20.99,20.99,5,
2025-11-18,CEVA,670,0.13074074074074066,0.14000000000000057,21.095,21.03,21.07,27,
2025-11-18,CEVA,674,0.1326923076923074,0.14999999999999858,21.45,21.41,21.43,26,
2025-11-18,CEVA,786,0.0781395348837206,0.0799999999999983,21.445,21.4,21.46,86,
2025-11-18,HTFL,630,0.18111111111111125,0.17999999999999972,27.62,27.51,27.72,45,
2025-11-19,DMAC,708,0.06624999999999964,0.05999999999999961,7.359999999999999,7.33,7.36,16,
2025-11-19,PVLA,951,0.3027710843373468,0.29000000000000625,97.0,96.87,97.11,83,
2025-11-19,VVV,940,0.022500000000000128,0.019999999999999574,30.770000000000003,30.76,30.78,220,
2025-11-19,VVV,943,0.016321839080460095,0.019999999999999574,30.814999999999998,30.81,30.83,174,
2025-11-20,BV,743,0.013695652173913447,0.010000000000001563,11.715,11.71,11.72,46,
2025-11-21,LQDT,954,0.04697674418604675,0.04999999999999716,27.775,27.75,27.8,129,
2025-11-26,URBN,808,0.07924657534246736,0.07000000000000739,76.89500000000001,76.86,76.91,146,
2025-12-01,ASH,831,0.0516049382716059,0.05000000000000426,58.394999999999996,58.37,58.41,81,
2025-12-01,ASH,839,0.05000000000000047,0.04999999999999716,58.584999999999994,58.56,58.65,163,
2025-12-03,M,733,0.01009043927648581,0.010000000000001563,23.025,23.02,23.06,774,
2025-12-04,DG,640,0.11199170124481285,0.10000000000000853,122.45,122.41,122.48,241,
2025-12-04,DG,642,0.1281481481481489,0.11999999999999034,122.745,122.66,122.87,189,
2025-12-05,DG,863,0.1284848484848465,0.12000000000000455,134.39249999999998,134.31,134.57,330,
2025-12-05,LUV,829,0.012085106382977478,0.00999999999999801,38.114999999999995,38.11,38.14,705,
2025-12-05,LUV,955,0.010715596330276309,0.00999999999999801,38.015,38.01,38.03,1635,
2025-12-08,LTRX,955,0.010314960629921474,0.009999999999999787,5.8149999999999995,5.81,5.82,127,
2025-12-10,GPCR,617,0.34324999999999745,0.3299999999999983,70.4675,70.355,70.68,80,
2025-12-10,GPCR,619,0.3278169014084516,0.29000000000000625,71.15,71.05,71.29,142,
2025-12-12,ASYS,794,0.09000000000000068,0.08999999999999986,10.985,10.94,10.94,13,
2025-12-12,ASYS,917,0.07066666666666664,0.08000000000000007,11.02,10.98,10.99,30,
2025-12-12,RH,615,0.7133720930232536,0.6899999999999977,172.59,172.33,172.97,172,
2025-12-12,RH,783,0.42340909090909273,0.4399999999999977,166.075,165.9,166.13,44,
2025-12-17,WOR,900,0.5761538461538466,0.509999999999998,55.567499999999995,55.22,55.54,52,
2025-12-22,NEO,873,0.010256410256410038,0.009999999999999787,12.434999999999999,12.43,12.43,117,
2025-12-22,NEO,922,0.010000000000001563,0.010000000000001563,12.455,12.45,12.45,44,
2025-12-22,OPFI,615,0.05999999999999872,0.05999999999999872,11.51,11.48,11.48,3,
2025-12-22,OPFI,628,0.04706896551724126,0.040000000000000924,11.579999999999998,11.54,11.58,58,
2026-01-06,FIGR,921,0.09392857142857114,0.10000000000000142,56.2325,56.165,56.29,56,
2026-01-07,APOG,601,0.44399999999999695,0.4399999999999977,33.07,32.85,32.85,5,
2026-01-07,APOG,663,0.21491525423728813,0.22999999999999687,32.245000000000005,32.13,32.39,59,
2026-01-08,GDS,841,0.05083333333333565,0.05000000000000426,42.43,42.41,42.45,72,
2026-01-08,STZ,955,0.08658284023668589,0.05000000000001137,148.20999999999998,148.19,148.31,676,
2026-01-09,OUST,620,0.07811188811188835,0.05999999999999872,29.735,29.7,29.79,143,
2026-01-09,OUST,627,0.042623906705540074,0.03999999999999915,29.86,29.83,29.96,343,
2026-01-12,XNET,811,0.04478260869565199,0.049999999999998934,8.24,8.22,8.24,23,
2026-01-12,XNET,900,0.010833333333333103,0.009999999999999787,8.285,8.28,8.28,12,
2026-01-14,PKE,885,0.14763513513513474,0.129999999999999,25.255,25.2,25.29,148,
2026-01-15,ATEC,919,0.013199999999999618,0.010000000000001563,17.475,17.47,17.49,125,
2026-01-15,ATEC,955,0.015582010582010829,0.019999999999999574,17.335,17.32,17.42,756,
2026-01-20,CBIO,955,0.029047619047618427,0.02999999999999936,13.985,13.97,13.97,21,
2026-01-21,LCII,955,0.2780952380952324,0.3199999999999932,151.23000000000002,151.12,151.22,63,
2026-01-21,PRSU,955,0.04833333333333635,0.05000000000000426,35.175,35.15,35.15,72,
2026-01-21,RMBS,696,0.2772624434389122,0.2599999999999909,130.64499999999998,130.55,130.93,442,
2026-01-21,SDRL,929,0.02397260273972457,0.01999999999999602,38.05,38.04,38.06,73,
2026-01-21,SDRL,931,0.030112359550562434,0.030000000000001137,38.165,38.15,38.15,89,
2026-01-21,SFBS,941,0.4100000000000108,0.4100000000000108,87.775,87.57,87.57,5,
2026-01-22,ABT,607,0.061346998535870376,0.05999999999998806,111.985,111.95,112.19,683,
2026-01-22,ORKA,616,0.29122448979592075,0.25,36.08,35.95,36.15,49,
2026-01-23,BAND,955,0.027727272727272136,0.019999999999999574,14.56,14.55,14.56,44,
2026-01-28,APH,661,0.08167638483965263,0.0800000000000125,144.54500000000002,144.51,145.3,686,
2026-01-28,APH,680,0.06669014084506848,0.060000000000002274,147.54250000000002,147.51,148.07,852,
2026-01-28,APH,681,0.05623036649214427,0.04999999999998295,148.175,148.15,148.31,764,
2026-01-28,APH,843,0.14338235294117493,0.1349999999999909,148.9,148.84,148.96,204,
2026-01-28,APH,845,0.11278825995807089,0.09999999999999432,149.375,149.34,149.93,477,
2026-01-28,APH,846,0.14456521739130684,0.11000000000001364,149.95999999999998,149.94,150.1,276,
2026-01-28,VFC,607,0.010193548387096506,0.00999999999999801,18.555,18.55,18.62,775,
2026-01-28,VFC,608,0.010568643379366645,0.010000000000001563,18.625,18.62,18.66,1231,
2026-01-28,VFC,635,0.010100864553313868,0.00999999999999801,18.825,18.82,18.91,694,
2026-01-28,VFC,636,0.010643274853801296,0.010000000000001563,18.915,18.91,18.94,684,
2026-01-28,VFC,940,0.009999999999999749,0.00999999999999801,18.925,18.92,18.97,597,
2026-01-28,VFC,946,0.010010020040079686,0.00999999999999801,19.064999999999998,19.06,19.08,998,
2026-01-29,MBIN,647,0.6199999999999974,0.6199999999999974,39.67,39.36,39.36,3,
2026-01-29,MOD,676,0.6250000000000009,0.6200000000000045,176.39,175.93,176.38,34,
2026-01-29,MOD,678,0.9141025641025606,1.1399999999999864,176.875,176.31,176.99,39,
2026-01-29,MOD,680,1.1778205128205144,1.2800000000000011,177.765,177.03,178.4,78,
2026-01-29,WASH,955,0.10163009404388715,0.05999999999999517,34.04,34.01,34.2,319,
2026-02-02,SION,854,,,,,,0,
