day,em,xm,symbol,net,wk,split
2025-04-02,575,882,ZVZZT,2.0,2025-03-29/2025-04-04,TRAIN
2025-04-03,571,580,TRML,-1.1084414532426867,2025-03-29/2025-04-04,TRAIN
2025-04-03,572,955,PAGS,1.4108998413544707,2025-03-29/2025-04-04,TRAIN
2025-04-03,573,581,GT,2.0,2025-03-29/2025-04-04,TRAIN
2025-04-03,575,955,CGNT,-0.6750674384959178,2025-03-29/2025-04-04,TRAIN
2025-04-04,571,955,CGTL,-0.7933589097421763,2025-03-29/2025-04-04,TRAIN
2025-04-04,571,579,DNTH,-1.1502675128652973,2025-03-29/2025-04-04,TRAIN
2025-04-04,571,582,DRS,-1.150507624210829,2025-03-29/2025-04-04,TRAIN
2025-04-04,571,745,MLGO,2.0,2025-03-29/2025-04-04,TRAIN
2025-04-07,571,720,BIDU,-1.1657796353690502,2025-04-05/2025-04-11,TRAIN
2025-04-07,571,576,NMRK,-1.1505012133704984,2025-04-05/2025-04-11,TRAIN
2025-04-07,571,955,TRMK,-0.18003032398084917,2025-04-05/2025-04-11,TRAIN
2025-04-07,573,574,NMAX,2.0,2025-04-05/2025-04-11,TRAIN
2025-04-08,573,619,BMGL,-1.0714772689045071,2025-04-05/2025-04-11,TRAIN
2025-04-08,573,955,MLYS,-0.3099187928051947,2025-04-05/2025-04-11,TRAIN
2025-04-08,581,691,WTF,-1.1721412325063534,2025-04-05/2025-04-11,TRAIN
2025-04-08,588,628,ICCT,-1.0455935151314315,2025-04-05/2025-04-11,TRAIN
2025-04-09,571,804,BROS,2.0,2025-04-05/2025-04-11,TRAIN
2025-04-09,571,580,CONL,2.0,2025-04-05/2025-04-11,TRAIN
2025-04-09,571,585,GRRR,-1.3298230126572612,2025-04-05/2025-04-11,TRAIN
2025-04-09,571,577,LITE,-1.3769392545593306,2025-04-05/2025-04-11,TRAIN
2025-04-10,571,573,SMMT,2.0,2025-04-05/2025-04-11,TRAIN
2025-04-10,579,690,TBRG,-1.1849391769561575,2025-04-05/2025-04-11,TRAIN
2025-04-10,583,955,ASPI,1.3550116502954748,2025-04-05/2025-04-11,TRAIN
2025-04-10,586,607,DK,-1.1723394146652004,2025-04-05/2025-04-11,TRAIN
2025-04-11,579,619,PLTU,-1.222084000053062,2025-04-05/2025-04-11,TRAIN
2025-04-11,579,620,PTIR,-1.3196464514583408,2025-04-05/2025-04-11,TRAIN
2025-04-11,583,955,BOIL,0.5486625271824179,2025-04-05/2025-04-11,TRAIN
2025-04-11,586,955,SOXL,0.7534139921489958,2025-04-05/2025-04-11,TRAIN
2025-04-14,591,955,GDXU,0.3414411484289637,2025-04-12/2025-04-18,TRAIN
2025-04-14,595,955,NUGT,0.0975411875787494,2025-04-12/2025-04-18,TRAIN
2025-04-14,647,797,KMTS,-1.1790854944528182,2025-04-12/2025-04-18,TRAIN
2025-04-14,673,955,TSLQ,-0.24283660600911675,2025-04-12/2025-04-18,TRAIN
2025-04-15,571,955,MORN,-0.08441510068162907,2025-04-12/2025-04-18,TRAIN
2025-04-15,571,582,MTSR,2.0,2025-04-12/2025-04-18,TRAIN
2025-04-15,578,680,AUID,2.0,2025-04-12/2025-04-18,TRAIN
2025-04-15,581,955,CAC,0.05310784266143352,2025-04-12/2025-04-18,TRAIN
2025-04-16,572,598,BULL,2.0,2025-04-12/2025-04-18,TRAIN
2025-04-16,572,663,NMAX,2.0,2025-04-12/2025-04-18,TRAIN
2025-04-16,573,955,FHN,-0.7673841792840057,2025-04-12/2025-04-18,TRAIN
2025-04-16,574,955,ASB,-0.5352792066828029,2025-04-12/2025-04-18,TRAIN
2025-04-17,572,955,FR,0.1581863270790942,2025-04-12/2025-04-18,TRAIN
2025-04-17,572,955,TCBI,0.2013635818303836,2025-04-12/2025-04-18,TRAIN
2025-04-17,575,575,LXEH,-1.1766881774934945,2025-04-12/2025-04-18,TRAIN
