book,cell,label,split,n,n_weeks,tr_per_wk,green_pct,flat_pct,red_pct,green_wks,flat_wks,red_streak,worst_wk,best_wk,mo_green_pct,worst_mo,mdd,pnl,wr,top1_share,top5_share,top10_share,wk_traded_pct
HOD,E2b,E2 50% @ +1.00R + BE,VAL,1096,23,47.65217391304348,30.434782608695652,4.3478260869565215,65.21739130434783,7,1,7,-18.187548016958818,14.339135263009307,20.0,-35.85151748838222,-79.64926616962977,-55.797778682260855,48.54014598540146,-0.3225934871440061,-1.5054362733386941,-2.983989756082054,95.65217391304348
HOD,E2c,E2 50% @ +1.50R + BE,TRAIN,2378,53,44.867924528301884,43.39622641509434,1.8867924528301887,54.716981132075475,23,1,7,-19.40070350561384,21.056089750486972,41.66666666666667,-30.1494592080923,-131.53645077786382,-64.16634094318835,41.12699747687132,-0.7480557453400419,-3.433623034713161,-6.679094054860324,98.11320754716981
HOD,E2c,E2 50% @ +1.50R + BE,VAL,1053,23,45.78260869565217,39.130434782608695,4.3478260869565215,56.52173913043478,9,1,7,-18.373018095392048,22.633618930738315,40.0,-31.52459061863458,-74.18824520696042,-6.1354383855042585,43.01994301994302,-3.585725846742713,-15.891285002609767,-30.723151005045533,95.65217391304348
HOD,E3,E3 50% @ +1R + 0.5R trail,TRAIN,2603,53,49.113207547169814,41.509433962264154,1.8867924528301887,56.60377358490566,22,1,6,-17.718286149950973,16.805807549926538,16.666666666666664,-23.671594159364926,-132.80990256097036,-113.67344512068868,48.213599692662314,-0.49959492900718133,-1.9519520836907782,-3.4432839351956646,98.11320754716981
HOD,E3,E3 50% @ +1R + 0.5R trail,VAL,1155,23,50.21739130434783,34.78260869565217,4.3478260869565215,60.869565217391305,8,1,6,-12.463724419105562,16.106864055964902,40.0,-30.919041283508136,-58.427957486295895,-30.311058735932473,49.78354978354979,-0.7563724978627848,-3.0327342545576492,-5.462284560359815,95.65217391304348
HOD,E4a,E4 time box (short),TRAIN,2741,53,51.716981132075475,41.509433962264154,1.8867924528301887,56.60377358490566,22,1,8,-14.714981463863378,10.745026427629924,16.666666666666664,-29.875131507177,-120.84107314465203,-88.22784273939607,39.29222911346224,-0.6122903037666266,-3.1058342142737367,-6.211429811905319,98.11320754716981
HOD,E4a,E4 time box (short),VAL,1206,23,52.43478260869565,39.130434782608695,4.3478260869565215,56.52173913043478,9,1,4,-9.792816812441053,16.874908010038943,60.0,-17.9263354081742,-36.6865058263517,-0.7590817946304025,42.20563847429519,-31.617146096469924,-158.08573048234953,-318.8062231394049,95.65217391304348
HOD,E4b,E4 time box (long),TRAIN,2671,53,50.39622641509434,37.735849056603776,1.8867924528301887,60.37735849056604,20,1,6,-17.484710365483007,21.74274897432755,33.33333333333333,-43.73499925617939,-135.85576182420644,-78.72612784137445,39.61063272182703,-0.6859222151609542,-3.404206549317326,-6.78300857214721,98.11320754716981
HOD,E4b,E4 time box (long),VAL,1203,23,52.30434782608695,39.130434782608695,4.3478260869565215,56.52173913043478,9,1,6,-15.275472238259413,24.652927753313122,20.0,-13.599067444495326,-38.94115646243434,-7.844460274424264,40.23275145469659,-3.059483910989846,-15.297419554949215,-30.594839109898427,95.65217391304348
HOD,E5,E5 breakeven-only @ +0.75R,TRAIN,2327,53,43.905660377358494,37.735849056603776,1.8867924528301887,60.37735849056604,20,1,5,-22.558793396986562,41.89456510728541,58.333333333333336,-70.3911625602953,-136.19214850414994,-24.805716803230936,17.318435754189945,-10.08817539954861,-26.609478258387398,-37.44891539850432,98.11320754716981
HOD,E5,E5 breakeven-only @ +0.75R,VAL,993,23,43.17391304347826,34.78260869565217,4.3478260869565215,60.869565217391305,8,1,6,-22.786834736914987,33.88506202026437,20.0,-31.065483942750376,-68.8381119087807,-16.370677075141835,18.932527693856997,-5.431889185612762,-16.647310345198505,-23.720199939773984,95.65217391304348
BF,E0_CACHE,E0 regen-7 own exits,TRAIN,149,53,2.811320754716981,52.83018867924528,9.433962264150944,37.735849056603776,28,5,3,-13098.109999999999,47264.19,75.0,-4106.69,-19091.079999999998,169954.22,53.02013422818792,0.11690936535732976,0.6411042338342644,1.0395970161847115,90.56603773584905
BF,E0_CACHE,E0 regen-7 own exits,VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-9702.380000000001,13029.300000000001,100.0,159.40000000000146,-12869.9,38967.16,56.86274509803921,0.2668026101979205,0.7250212743243284,1.102839673201742,82.6086956521739
BF,E0,E0 shipped,TRAIN,149,53,2.811320754716981,52.83018867924528,9.433962264150944,37.735849056603776,28,5,3,-12947.25,34954.84,75.0,-10232.05,-19516.359999999997,128981.63999999998,51.006711409395976,0.1275836622948817,0.6720912371714302,1.1889167326450494,90.56603773584905
BF,E0,E0 shipped,VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-11191.19,19377.38,80.0,-1205.3800000000006,-14536.559999999998,49707.8,54.90196078431373,0.32771919095192303,0.6880728980160055,0.9678863276990732,82.6086956521739
BF,E1a,E1 target +0.50R (whole),TRAIN,149,53,2.811320754716981,52.83018867924528,9.433962264150944,37.735849056603776,28,5,3,-6389.92,6560.1,66.66666666666666,-6785.02,-19029.440000000002,27372.86,55.033557046979865,0.24145887568927762,1.0964163043247948,1.8235902276926854,90.56603773584905
BF,E1a,E1 target +0.50R (whole),VAL,51,23,2.217391304347826,34.78260869565217,17.391304347826086,47.82608695652174,8,4,3,-5476.19,6710.59,60.0,-6071.29,-9391.46,-3282.3900000000003,56.86274509803921,-1.2154436249196467,-2.800261394898229,-4.291284704133267,82.6086956521739
BF,E1b,E1 target +0.75R (whole),TRAIN,149,53,2.811320754716981,47.16981132075472,9.433962264150944,43.39622641509434,25,5,3,-13331.499999999998,11872.52,58.333333333333336,-11089.35,-18869.710000000003,23296.780000000006,56.375838926174495,0.2837053017627328,1.5854615959802167,2.6249228434144114,90.56603773584905
BF,E1b,E1 target +0.75R (whole),VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-5115.1,8581.05,60.0,-5824.9,-7255.880000000001,14997.36,62.745098039215684,0.2660174857441576,0.7161847151765377,1.072686792875546,82.6086956521739
BF,E1c,E1 target +1.00R (whole),TRAIN,149,53,2.811320754716981,47.16981132075472,9.433962264150944,43.39622641509434,25,5,3,-12110.06,14596.46,66.66666666666666,-16830.63,-17667.64,35297.71000000001,58.38926174496645,0.28259368667259144,1.3443260200165958,2.2137067815447513,90.56603773584905
BF,E1c,E1 target +1.00R (whole),VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-9955.42,9644.58,60.0,-8391.88,-13402.060000000001,13134.689999999999,58.82352941176471,0.3037422276429821,0.8222767343576439,1.271676758263804,82.6086956521739
BF,E1d,E1 target +1.50R (whole),TRAIN,149,53,2.811320754716981,49.056603773584904,9.433962264150944,41.509433962264154,26,5,3,-12297.75,23560.3,75.0,-15849.340000000002,-16719.04,77498.54000000001,53.02013422818792,0.15440807013912777,0.8660776061071601,1.494623640651811,90.56603773584905
BF,E1d,E1 target +1.50R (whole),VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-8503.49,8536.17,60.0,-3413.9600000000005,-11950.13,17894.87,56.86274509803921,0.3888578123227495,0.9738181948234326,1.4384742666473689,82.6086956521739
BF,E2a,E2 50% @ +0.50R + BE,TRAIN,149,53,2.811320754716981,58.490566037735846,9.433962264150944,32.075471698113205,31,5,3,-6389.92,15025.880000000001,75.0,-6806.11,-17434.92,66479.85999999999,55.033557046979865,0.1836647971280325,0.8683189164357448,1.31360896367712,90.56603773584905
BF,E2a,E2 50% @ +0.50R + BE,VAL,51,23,2.217391304347826,34.78260869565217,17.391304347826086,47.82608695652174,8,4,3,-6165.52,13442.91,60.0,-6949.18,-9510.890000000001,9040.659999999998,50.98039215686274,1.4487747575951315,2.419450571086625,2.9494362137277594,82.6086956521739
BF,E2b,E2 50% @ +1.00R + BE,TRAIN,149,53,2.811320754716981,50.943396226415096,9.433962264150944,39.62264150943396,27,5,3,-12231.72,25659.06,75.0,-18351.37,-18959.87000000001,73739.34,59.73154362416108,0.17466104253170694,0.9302482229973852,1.5636097366751587,90.56603773584905
BF,E2b,E2 50% @ +1.00R + BE,VAL,51,23,2.217391304347826,52.17391304347826,17.391304347826086,30.434782608695652,12,4,2,-10867.91,15436.71,60.0,-10571.24,-14213.28,19724.490000000005,60.78431372549019,0.6640415037346971,1.1229218093851854,1.4240165398446294,82.6086956521739
BF,E2c,E2 50% @ +1.50R + BE,TRAIN,149,53,2.811320754716981,49.056603773584904,9.433962264150944,41.509433962264154,26,5,3,-12236.089999999998,32925.97,75.0,-12550.910000000002,-16232.029999999999,109951.43000000001,54.36241610738255,0.12861060561013166,0.7281848903647729,1.2581467107794777,90.56603773584905
BF,E2c,E2 50% @ +1.50R + BE,VAL,51,23,2.217391304347826,56.52173913043478,17.391304347826086,26.08695652173913,13,4,2,-9936.68,15436.71,80.0,-2515.59,-13282.05,26960.889999999996,58.82352941176471,0.48581037198697824,1.0669165595052688,1.4463305922022607,82.6086956521739
BF,E5,E5 breakeven-only @ +0.75R,TRAIN,149,53,2.811320754716981,45.283018867924525,9.433962264150944,45.283018867924525,24,5,4,-12399.869999999999,47242.75,75.0,-15857.36,-16274.600000000006,122816.43000000002,40.939597315436245,0.1616524759757306,0.8871550817752966,1.3222402735529766,90.56603773584905
BF,E5,E5 breakeven-only @ +0.75R,VAL,51,23,2.217391304347826,30.434782608695652,17.391304347826086,52.17391304347826,7,4,4,-7821.41,11748.59,40.0,-9390.02,-11776.970000000001,8094.969999999999,29.411764705882355,1.202990251971286,2.8429370337382354,3.6784138792361185,82.6086956521739
